Timestep (s),Sum Voltage (V),Carry Out Voltage (V),Sum Error Rate (Dimless),Carry Out Error Rate (Dimless),Energy Dissipation (J)
0,0.00691646174141851,2.499238919794468,1.0,1.0,2.810917672108823e-19
100,0.013773729551739944,2.4984785177623445,1.0,1.0,5.546472273971992e-19
200,0.020573810429259695,2.497718797970738,1.0,1.0,8.2102672257858195e-19
300,0.027318711123997697,2.496959764497664,1.0,1.0,1.0805748493418732e-18
400,0.03401036867880375,2.4962014214219304,1.0,1.0,1.3336201240561214e-18
500,0.04065065308113265,2.4954437728133922,1.0,1.0,1.580476427517263e-18
600,0.04724136979233162,2.4946868227235774,1.0,1.0,1.8214426801533277e-18
700,0.05378426216308869,2.4939305751766585,1.0,1.0,2.0568034944003582e-18
800,0.06028101374033973,2.4931750341607737,1.0,1.0,2.286829656994721e-18
900,0.06673325047122833,2.4924202036196785,1.0,1.0,2.5117786305491367e-18
1000,0.07314254280939544,2.4916660874447243,1.0,1.0,2.7318950681587942e-18
1100,0.07951040772858188,2.4909126894671485,1.0,1.0,2.947411335384133e-18
1200,0.08583831064824574,2.4901600134506734,1.0,1.0,3.158548034534235e-18
1300,0.0921276672756336,2.489408063084398,1.0,1.0,3.3655145268888865e-18
1400,0.09837984536850256,2.48865684197598,1.0,1.0,3.5685094490586845e-18
1500,0.10459616642245328,2.4879063536450907,1.0,1.0,3.767721220384969e-18
1600,0.11077790728661956,2.4871566015171465,1.0,1.0,3.963328538789097e-18
1700,0.11692630171125618,2.4864075889172947,1.0,1.0,4.155500863035099e-18
1800,0.1230425418305712,2.4856593190646565,1.0,1.0,4.344398879833647e-18
1900,0.12912777958397034,2.484911795066812,1.0,1.0,4.5301749545766224e-18
2000,0.13518312807870844,2.484165019914522,1.0,1.0,4.7129735648961324e-18
2100,0.14120966289678372,2.483418996476681,1.0,1.0,4.892931716525357e-18
2200,0.14720842334875872,2.482673727495489,1.0,1.0,5.070179341174061e-18
2300,0.15318041367704938,2.4819292155818387,1.0,1.0,5.244839676369429e-18
2400,0.15912660421108898,2.481185463210911,1.0,1.0,5.417029627389414e-18
2500,0.16504793247664817,2.4804424727179675,1.0,1.0,5.586860111518354e-18
2600,0.17094530426147067,2.4797002462943416,1.0,1.0,5.754436385041378e-18
2700,0.1768195946392745,2.4789587859836115,1.0,1.0,5.919858353403116e-18
2800,0.18267164895406013,2.4782180936779583,1.0,1.0,6.083220865080788e-18
2900,0.18850228376656716,2.4774781711146963,1.0,1.0,6.2446139897381645e-18
3000,0.19431228776462742,2.4767390198729733,1.0,1.0,6.4041232812943266e-18
3100,0.20010242263907183,2.4760006413706344,1.0,1.0,6.5618300265193635e-18
3200,0.20587342392676378,2.4752630368612425,1.0,1.0,6.7178114798147954e-18
3300,0.21162600182225424,2.4745262074312513,1.0,1.0,6.872141084829726e-18
3400,0.21736084195947464,2.4737901539973257,1.0,1.0,7.02488868355365e-18
3500,0.22307860616481584,2.473054877303804,1.0,1.0,7.176120713521225e-18
3600,0.22877993318287268,2.4723203779202976,1.0,1.0,7.325900393740847e-18
3700,0.23446543937606876,2.4715866562394218,1.0,1.0,7.474287899967775e-18
3800,0.2401357193993178,2.4708537124746557,1.0,1.0,7.621340529890731e-18
3900,0.2457913468508193,2.4701215466583255,1.0,1.0,7.767112858790303e-18
4000,0.25143287490003363,2.4693901586397056,1.0,1.0,7.911656886220737e-18
4100,0.25706083689382814,2.4686595480832367,1.0,1.0,8.055022174212641e-18
4200,0.2626757469417407,2.467929714466853,1.0,1.0,8.19725597749608e-18
4300,0.2682781004812576,2.467200657080417,1.0,1.0,8.338403366211561e-18
4400,0.27386837482396287,2.466472375024257,1.0,1.0,8.478507341543476e-18
4500,0.2794470296833706,2.4657448672078073,1.0,1.0,8.617608944700533e-18
4600,0.28501450768521774,2.46501813234834,1.0,1.0,8.75574735963621e-18
4700,0.2905712348609529,2.464292168969793,1.0,1.0,8.892960009881213e-18
4800,0.2961176211251249,2.4635669754016862,1.0,1.0,9.02928264985252e-18
4900,0.30165406073734,2.4628425497781232,1.0,1.0,9.164749450952983e-18
5000,0.3071809327494253,2.4621188900368796,1.0,1.0,9.299393082789617e-18
5100,0.312698601438405,2.461395993918567,1.0,1.0,9.433244789800799e-18
5200,0.3182074167258697,2.4606738589658783,1.0,1.0,9.566334463561854e-18
5300,0.3237077145842898,2.4599524825229055,1.0,1.0,9.698690711044229e-18
5400,0.3291998174307983,2.4592318617345303,1.0,1.0,9.830340919054769e-18
5500,0.33468403450894574,2.4585119935458843,1.0,1.0,9.96131131509998e-18
5600,0.3401606622589048,2.457792874701876,1.0,1.0,1.0091627024884166e-17
5700,0.3456299846765804,2.4570745017467814,1.0,1.0,1.0221312126635416e-17
5800,0.3510922736620618,2.4563568710238997,1.0,1.0,1.0350389702467277e-17
5900,0.35654778935782977,2.4556399786752654,1.0,1.0,1.047888188693404e-17
6000,0.3619967804771166,2.454923820641421,1.0,1.0,1.0606809912958614e-17
6100,0.36743948462279624,2.4542083926612435,1.0,1.0,1.0734194155287148e-17
6200,0.37287612859716585,2.4534936902718267,1.0,1.0,1.086105417161074e-17
6300,0.3783069287029622,2.4527797088084133,1.0,1.0,1.0987408741501355e-17
6400,0.38373209103594325,2.452066443404379,1.0,1.0,1.111327590328067e-17
6500,0.38915181176934815,2.4513538889912616,1.0,1.0,1.1238672988946406e-17
6600,0.3945662774305349,2.450642040298841,1.0,1.0,1.136361665727796e-17
