Timestep (s),Sum Voltage (V),Carry Out Voltage (V),Sum Error Rate (Dimless),Carry Out Error Rate (Dimless),Energy Dissipation (J)
0,0.00691646174141851,0.006923166600343453,0.00029331658409115224,1.0,1.903961857113233e-19
100,0.0137292856128665,0.013744828646887253,0.00041682649656726856,1.0,3.7982008898048404e-19
200,0.020442054292807682,0.020467064715171176,0.0005842912047222537,1.0,5.6829166192410525e-19
300,0.027056041577221177,0.027091898998182522,0.0008082756393439361,1.0,7.558314161202948e-19
400,0.03357324743763518,0.03362130310616149,0.001103966602703732,1.0,9.424590196234856e-19
500,0.03999562029009189,0.040057197799479874,0.0014894330029485703,1.0,1.1281936567953603e-18
600,0.04632505867925309,0.04640145464514473,0.0019858631633308255,1.0,1.3130540456090256e-18
700,0.05256341289613277,0.052655897614500305,0.0026177516800607314,1.0,1.4970587573125711e-18
800,0.0587124865308405,0.05882230462131154,0.00341302038632052,1.0,1.6802254457815915e-18
900,0.0647740379681331,0.06490240899509937,0.004403058998963205,1.0,1.8625715458600505e-18
1000,0.07074978182398385,0.07089790090008138,0.005622672927107164,1.0,2.0441140887667115e-18
1100,0.07664139032709157,0.07681042870051484,0.0071099284596307655,1.0,2.2248697162973077e-18
1200,0.08245049464768696,0.08264160027375597,0.008905889008496648,1.0,2.4048546945159724e-18
1300,0.08817868617613317,0.08839298427850731,0.011054240103166912,1.0,2.5840849269621737e-18
1400,0.09382751775336136,0.0940661113603445,0.013600805202026,1.0,2.7625759674310525e-18
1500,0.09939850485529336,0.09966247533804865,0.016592958877806097,1.0,2.940343032290959e-18
1600,0.10489312673330814,0.10518353432205761,0.020078948303432598,1.0,3.117401012432735e-18
1700,0.11031282751251892,0.11063071180471358,0.02410713797775732,1.0,3.293764484812292e-18
1800,0.11565901724979226,0.11600539770978924,0.028725196076067272,1.0,3.4694477236321906e-18
1900,0.12093307295314214,0.12130894939684117,0.03397924351254755,1.0,3.644464711202046e-18
2000,0.12613633956417358,0.12654269263795861,0.039912988632768265,1.0,3.818829148455855e-18
2100,0.1312701309051182,0.13170792255447844,0.046566871337435534,1.0,3.992554465169893e-18
2200,0.13633573059192788,0.13680590452311664,0.05397724035273166,1.0,4.165653829911334e-18
2300,0.1413343929148958,0.14183787505180237,0.06217558633890241,1.0,4.338140159695142e-18
2400,0.1462673436880654,0.14680504261239313,0.0711878516456983,1.0,4.510026129415003e-18
2500,0.15113578106876482,0.15170802538092729,0.08103383489979943,1.0,4.681324504813038e-18
2600,0.15594087634850382,0.15654847935906446,0.09172670539314731,1.0,4.852047231758018e-18
2700,0.16068377471634437,0.16132752969828185,0.10327263859958935,1.0,5.022206317244139e-18
2800,0.16536559599589135,0.16604627651374473,0.11567058025666477,1.0,5.19181356183255e-18
2900,0.16998743535697267,0.17070579559289534,0.12891214248328353,1.0,5.36088056806847e-18
3000,0.17455036400300705,0.17530713908049964,0.142981631525942,1.0,5.529418748745804e-18
3100,0.17905542983500272,0.17985133614051085,0.15785620308136283,1.0,5.697439335037383e-18
3200,0.18350365809317096,0.1843393935957044,0.1735061378542554,1.0,5.864953384498339e-18
3300,0.18789605197698303,0.1887722965458055,0.1898952271693487,1.0,6.03197178897746e-18
3400,0.19223359324452946,0.19315100896544748,0.20698125613464002,1.0,6.198505282422464e-18
3500,0.19651724279199284,0.19747647428225584,0.22471657008543378,1.0,6.364564448631272e-18
3600,0.20074794121400422,0.20174961593597485,0.24304870883798335,1.0,6.530159728937497e-18
3700,0.20492660934561407,0.2059713379193626,0.26192109263503194,1.0,6.695301429868122e-18
3800,0.2090541487865662,0.21014252530167724,0.28127374354051726,1.0,6.8599997307738006e-18
3900,0.21313144240858908,0.21426404473525537,0.3010440263885301,1.0,7.024264691470858e-18
4000,0.21715935484630172,0.21833674494580643,0.3211673941503056,1.0,7.188106259898078e-18
4100,0.2211387329723842,0.2223614572070652,0.34157812368518314,1.0,7.351534279816622e-18
4200,0.22507040635758271,0.22633899580051187,0.3622100292129491,1.0,7.514558498585259e-18
4300,0.22895518771613257,0.23027015846052626,0.38299714241402816,1.0,7.677188575015173e-18
4400,0.23279387333711735,0.23415572680566346,0.403874349758498,1.0,7.839434087339389e-18
4500,0.23658724350229496,0.23799646675635933,0.4247779794215134,1.0,8.001304541346845e-18
4600,0.2403360628908992,0.2417931289397583,0.4456463319004633,1.0,8.162809378662842e-18
4700,0.24404108097186553,0.24554644908219567,0.4664201501585856,1.0,8.32395798526673e-18
4800,0.24770303238395708,0.2492571483893116,0.4870430267385957,1.0,8.484759700230755e-18
4900,0.2513226373042239,0.2529259339148705,0.5074617467842849,1.0,8.645223824757103e-18
5000,0.2549006018052069,0.25655349891826945,0.5276265672538232,1.0,8.805359631549318e-18
5100,0.2584376182013022,0.26014052321124714,0.5474914337892036,1.0,8.965176374541516e-18
5200,0.2619343653846562,0.26368767349417943,0.567014137712478,1.0,9.124683299088318e-18
5300,0.2653915091509757,0.2671956036823714,0.5861564164492217,1.0,9.283889652629706e-18
5400,0.2688097025155948,0.2706649552226082,0.6048840013355165,1.0,9.442804695927542e-18
5500,0.27218958602015797,0.2740963574003269,0.623166617254862,1.0,9.601437714948739e-18
5600,0.275531788030221,0.2774904276378159,0.6409779388862875,1.0,9.759798033469715e-18
5700,0.2788369250241097,0.280847771783621,0.6582955085392295,1.0,9.917895026520791e-18
5800,0.2821056018733212,0.28416898439356325,0.6751006206189221,1.0,1.0075738134775693e-17
5900,0.2853384121147684,0.2874546490035962,0.6913781777255089,1.0,1.0233336880011051e-17
6000,0.28853593821513857,0.2907053383947518,0.7071165232569283,1.0,1.0390700881812196e-17
