Previous Input,Current Input,Sum Propagation Delay,Cout Propagation Delay,Energy Dissipation at tau (kT),Energy Dissipation Total (kT)
000,000,0.0,0.0,24063.81183629238,49713.66326400597
000,001,361700000.0,0.0,92868.93480347774,119791.19488012788
000,010,361700000.0,0.0,92941.73731080642,119859.28767424074
000,011,0.0,360100000.0,124744.96528109002,159412.19406981368
000,100,234800000.0,0.0,55288.046917104766,80962.20883522725
000,101,246250000.0,484100000.0,230624.0825221337,270424.85842638783
000,110,246300000.0,484100000.0,230701.12868043294,270500.0343225034
000,111,234800000.0,360100000.0,155969.54719654683,190661.2876722427
001,000,132250000.0,0.0,106286.34959747367,133154.41502760828
001,001,0.0,0.0,24057.697757848426,49700.62320534462
001,010,0.0,0.0,75753.69352854187,102045.70244476647
001,011,257500000.0,360100000.0,187636.0793677907,224646.20256076206
001,100,0.0,0.0,112012.54285884167,139037.57348342382
001,101,132200000.0,360300000.0,154705.02927559675,189930.405686814
001,110,152200000.0,380300000.0,211377.4928008303,248411.47982402128
001,111,482900000.0,333750000.0,355742.8723003204,394805.6754263827
010,000,132250000.0,0.0,106278.57133095956,133157.58934711138
010,001,0.0,0.0,75629.22323467035,101924.73040936892
010,010,0.0,0.0,24052.953117710418,49690.15074027659
010,011,256250000.0,360100000.0,189675.52563681637,226681.00143523418
010,100,0.0,0.0,112004.6444904547,139040.61660168387
010,101,152150000.0,380200000.0,211240.26713980827,248272.92665323778
010,110,132200000.0,360300000.0,154700.7182022111,189921.48674061926
010,111,481650000.0,335700000.0,357436.7687079602,396482.5963991385
011,000,0.0,13250000.0,484370.3419249077,514297.8198754055
011,001,361750000.0,132400000.0,204232.75100681704,232370.78773011483
011,010,361750000.0,132250000.0,204323.97736306753,232434.78227282365
011,011,0.0,0.0,30046.791115760065,62066.58010535667
011,100,234800000.0,13250000.0,515594.69506861194,545546.6110183676
011,101,246300000.0,484150000.0,339634.04494416376,379461.9628008774
011,110,246350000.0,484150000.0,339731.73729559296,379535.76320193574
011,111,234800000.0,0.0,61271.14452155309,93315.37156119711
100,000,12300000.0,0.0,70880.9381147449,96519.84893522791
100,001,361700000.0,0.0,139706.7227018238,166628.98476489133
100,010,361700000.0,0.0,139779.5254141392,166697.07776399105
100,011,12300000.0,360100000.0,171562.09679749687,206218.38498011653
100,100,0.0,0.0,24062.66669055776,49710.77926880076
100,101,257650000.0,484100000.0,204129.91241988668,243930.68832414036
100,110,257700000.0,484100000.0,204206.2876267594,244005.19326883036
100,111,0.0,360100000.0,124744.16702824677,159409.85815658153
101,000,0.0,131900000.0,189297.34577890855,216811.98449128916
101,001,234950000.0,131900000.0,168884.50203291935,195755.64746487598
101,010,256250000.0,131900000.0,220364.62392707882,247887.9154129454
101,011,245950000.0,336750000.0,300421.94082230533,337447.79746384977
101,100,361600000.0,255400000.0,194879.80292600708,224805.40340874097
101,101,0.0,0.0,30050.710984817026,62077.758118401376
101,110,0.0,0.0,84081.00601313298,117405.15338605698
101,111,487050000.0,0.0,244518.94103051492,283513.505365156
110,000,0.0,131900000.0,189289.51097046648,216815.09001079688
110,001,256150000.0,131900000.0,220241.68413270757,247768.45791997047
110,010,234950000.0,131900000.0,168879.64752720445,195745.04235513293
110,011,244650000.0,336750000.0,302432.75687512604,339453.98039583006
110,100,361600000.0,255400000.0,194872.00717756373,224808.5678284445
110,101,0.0,0.0,83945.67915472452,117269.99637182133
110,110,0.0,0.0,30046.337362685037,62068.765675791896
110,111,485750000.0,0.0,246517.58743924636,285494.7898439419
111,000,12250000.0,13250000.0,499930.32007307693,529857.7980235633
111,001,361750000.0,132400000.0,219792.65706181535,247930.69378511238
111,010,361750000.0,132250000.0,219883.88487039006,247994.68978014833
111,011,12250000.0,0.0,45606.76926382314,77626.55825341433
111,100,0.0,13250000.0,502487.55606576975,532421.8961415533
111,101,253350000.0,484150000.0,329387.3995290723,369215.3173857859
111,110,253400000.0,484150000.0,329484.5893492394,369288.6152555822
111,111,0.0,0.0,48164.00551872675,80190.65668439711
