Previous Input,Current Input,Sum Propagation Delay,Cout Propagation Delay,Energy Dissipation at tau (kT),Energy Dissipation Total (kT)
000,000,499900.0,499900.0,109943.49125351587,109943.49125351587
000,001,499900.0,499900.0,111815.55807451709,111815.55807451709
000,010,499900.0,499900.0,110905.18694755502,110905.18694755502
000,011,499900.0,499900.0,132422.59681782752,132422.59681782752
000,100,499900.0,499900.0,123726.94927799623,123726.94927799623
000,101,499900.0,499900.0,136668.753984023,136668.753984023
000,110,499900.0,499900.0,136515.54255675254,136515.54255675254
000,111,499900.0,499900.0,152370.87571246573,152370.87571246573
001,000,499900.0,499900.0,110007.79837075747,110007.79837075747
001,001,499900.0,499900.0,109959.29943261774,109959.29943261774
001,010,499900.0,499900.0,110236.50414572687,110236.50414572687
001,011,499900.0,499900.0,130888.00242925085,130888.00242925085
001,100,499900.0,499900.0,127350.50914793092,127350.50914793092
001,101,499900.0,499900.0,136051.96262172665,136051.96262172665
001,110,499900.0,499900.0,137448.6331802316,137448.6331802316
001,111,499900.0,499900.0,155032.92451797315,155032.92451797315
010,000,499900.0,499900.0,110155.79569364915,110155.79569364915
010,001,499900.0,499900.0,111143.30083561939,111143.30083561939
010,010,499900.0,499900.0,109041.35927003686,109041.35927003686
010,011,499900.0,499900.0,131379.26713539797,131379.26713539797
010,100,499900.0,499900.0,127542.29618573983,127542.29618573983
010,101,499900.0,499900.0,137406.96773465007,137406.96773465007
010,110,499900.0,499900.0,136043.39694661624,136043.39694661624
010,111,499900.0,499900.0,155028.4262877346,155028.4262877346
011,000,499900.0,499900.0,110628.14469953699,110628.14469953699
011,001,499900.0,499900.0,112372.94567264257,112372.94567264257
011,010,499900.0,499900.0,111304.38629258027,111304.38629258027
011,011,499900.0,499900.0,128569.58157139536,128569.58157139536
011,100,499900.0,499900.0,124595.20000759674,124595.20000759674
011,101,499900.0,499900.0,136934.453866899,136934.453866899
011,110,499900.0,499900.0,136538.43540204092,136538.43540204092
011,111,499900.0,499900.0,147341.58803515008,147341.58803515008
100,000,499900.0,499900.0,110212.3503782098,110212.3503782098
100,001,499900.0,499900.0,112037.79620248683,112037.79620248683
100,010,499900.0,499900.0,111135.02525982098,111135.02525982098
100,011,499900.0,499900.0,132694.6679933762,132694.6679933762
100,100,499900.0,499900.0,122846.82068738094,122846.82068738094
100,101,499900.0,499900.0,135801.93521364476,135801.93521364476
100,110,499900.0,499900.0,135646.79312649745,135646.79312649745
100,111,499900.0,499900.0,151494.59046701723,151494.59046701723
101,000,499900.0,499900.0,111671.75182848364,111671.75182848364
101,001,499900.0,499900.0,111853.8225401385,111853.8225401385
101,010,499900.0,499900.0,112134.74506564843,112134.74506564843
101,011,499900.0,499900.0,133053.71242922844,133053.71242922844
101,100,499900.0,499900.0,124991.50154754106,124991.50154754106
101,101,499900.0,499900.0,133108.31485469968,133108.31485469968
101,110,499900.0,499900.0,134713.55498098882,134713.55498098882
101,111,499900.0,499900.0,152803.55802688727,152803.55802688727
110,000,499900.0,499900.0,111821.40670543174,111821.40670543174
110,001,499900.0,499900.0,113078.38824423021,113078.38824423021
110,010,499900.0,499900.0,110907.61496308312,110907.61496308312
110,011,499900.0,499900.0,133529.1541549725,133529.1541549725
110,100,499900.0,499900.0,125193.19897927264,125193.19897927264
110,101,499900.0,499900.0,134635.6000886363,134635.6000886363
110,110,499900.0,499900.0,133129.69267226374,133129.69267226374
110,111,499900.0,499900.0,153006.10296924572,153006.10296924572
111,000,499900.0,499900.0,110687.89261196542,110687.89261196542
111,001,499900.0,499900.0,112422.3810707289,112422.3810707289
111,010,499900.0,499900.0,111356.11088967288,111356.11088967288
111,011,499900.0,499900.0,128628.19490597441,128628.19490597441
111,100,499900.0,499900.0,124295.59489042264,124295.59489042264
111,101,499900.0,499900.0,136638.73200803975,136638.73200803975
111,110,499900.0,499900.0,136241.9095250501,136241.9095250501
111,111,499900.0,499900.0,147042.17562004682,147042.17562004682
