pC,pA,pB,Q_stochastic,Q_input_state,Percentage Difference
0.0,0.30000000000000004,0.7000000000000001,66487.16657219363,66551.7642530019,-0.09715811958706538
0.0,0.30000000000000004,0.8,67034.96798566586,66993.53735244556,0.06180450959439094
0.0,0.30000000000000004,0.9,67194.36224262185,67289.49161302592,-0.14157344043326817
0.0,0.30000000000000004,1.0,67250.15457896148,67439.62703474297,-0.28174278106531836
0.0,0.4,0.0,59834.19309940771,59798.220699821104,0.06012013820733553
0.0,0.4,0.1,61722.20710440154,61464.376016714836,0.4177282371814553
0.0,0.4,0.2,63004.13561792762,62982.026656967624,0.0350912852674767
0.0,0.4,0.30000000000000004,64489.042717157135,64351.17262057944,0.21378840616751046
0.0,0.4,0.4,65817.25885520081,65571.81390755033,0.3729188239067581
0.0,0.4,0.5,67064.81407090503,66643.95051788024,0.6275474835132422
0.0,0.4,0.6000000000000001,67495.420047177,67567.58245156921,-0.10691452003968058
0.0,0.4,0.7000000000000001,68016.43157588512,68342.70970861723,-0.4797048671512398
0.0,0.4,0.8,68785.93079080181,68969.33228902431,-0.2666264686891903
0.0,0.4,0.9,69487.37833573982,69447.45019279042,0.057461000696386745
0.0,0.4,1.0,69917.01014141463,69777.06341991559,0.20016119284275233
0.0,0.5,0.0,59875.91902055356,59881.73099974274,-0.00970670560760507
0.0,0.5,0.1,61610.81110041193,61843.54005470927,-0.37774044869827866
0.0,0.5,0.2,63738.02479502422,63623.50027768944,0.17968005394437617
0.0,0.5,0.30000000000000004,65252.60372645884,65221.611668683225,0.04749551129872563
0.0,0.5,0.4,66400.06576009621,66637.87422769066,-0.35814492782830104
0.0,0.5,0.5,67961.84020678919,67872.28795471173,0.13176843329281698
0.0,0.5,0.6000000000000001,69043.38840033984,68924.85284974644,0.17168269596805458
0.0,0.5,0.7000000000000001,70168.28690216276,69795.56891279478,0.5311772679980923
0.0,0.5,0.8,70536.2578604933,70484.43614385679,0.0734681966528472
0.0,0.5,0.9,71000.76429463796,70991.45454293239,0.013112185196963022
0.0,0.5,1.0,71662.57460860038,71316.62411002166,0.48274919017101914
0.0,0.6000000000000001,0.0,59626.85871062894,59626.95596848829,-0.00016311082195703317
0.0,0.6000000000000001,0.1,61959.32350747035,61976.42215419355,-0.02759656780490522
0.0,0.6000000000000001,0.2,64419.25502342723,64080.03703499926,0.5265785645993667
0.0,0.6000000000000001,0.30000000000000004,66279.50488667264,65937.80061090543,0.5155504350122662
0.0,0.6000000000000001,0.4,67843.96820034251,67549.71288191203,0.4337236253067515
0.0,0.6000000000000001,0.5,68730.18057539723,68915.77384801907,-0.27003169650958336
0.0,0.6000000000000001,0.6000000000000001,70074.4887268165,70035.98350922659,0.054948981133533095
0.0,0.6000000000000001,0.7000000000000001,71274.21392521527,70910.34186553457,0.5105241287718587
