Timestep (s),Sum Voltage (V),Carry Out Voltage (V),Sum Error Rate (Dimless),Carry Out Error Rate (Dimless),Energy Dissipation (J)
0,9.999999427251394,0.00022681376024999002,1.1102230246251565e-15,1.0,5.671290181711652e-19
5000,9.99999885443804,0.00044980700435564983,1.1102230246251565e-15,1.0,1.1288041742398883e-18
10000,9.99999828156189,0.0006690449312441762,1.1102230246251565e-15,1.0,1.6851246099454306e-18
15000,9.999997708625056,0.0008845915953871954,1.1102230246251565e-15,1.0,2.2361873386669548e-18
20000,9.999997135629615,0.0010965099307533085,8.881784197001252e-16,1.0,2.7820872922013607e-18
25000,9.99999656257761,0.0013048617765431725,8.881784197001252e-16,1.0,3.322917371492159e-18
30000,9.999995989471051,0.0015097078908458603,8.881784197001252e-16,1.0,3.858768495982335e-18
35000,9.999995416311911,0.0017111079721886593,1.1102230246251565e-15,1.0,4.389729651586212e-18
40000,9.999994843102133,0.0019091206786738747,1.1102230246251565e-15,1.0,4.915887937484406e-18
45000,9.999994269843627,0.0021038036477308703,1.1102230246251565e-15,1.0,5.437328611595988e-18
50000,9.999993696538274,0.002295213513802764,1.1102230246251565e-15,1.0,5.954135134803449e-18
55000,9.99999312318792,0.0024834059287528903,9.992007221626409e-16,1.0,6.466389214091894e-18
60000,9.999992549794383,0.002668435577513693,1.1102230246251565e-15,1.0,6.974170844528348e-18
65000,9.999991976359448,0.002850356190387326,9.992007221626409e-16,1.0,7.477558350070471e-18
70000,9.999991402884874,0.0030292205740685093,8.881784197001252e-16,1.0,7.976628423373024e-18
75000,9.999990829372388,0.0032050806132464856,1.2212453270876722e-15,1.0,8.471456164563142e-18
80000,9.999990255823691,0.0033779872999755633,9.992007221626409e-16,1.0,8.962115118885634e-18
85000,9.999989682240455,0.003547990737814584,9.992007221626409e-16,1.0,9.448677313538474e-18
90000,9.999989108624323,0.003715140165117891,9.992007221626409e-16,1.0,9.931213293409027e-18
95000,9.999988534976909,0.0038794839742809007,1.1102230246251565e-15,1.0,1.0409792155955323e-17
100000,9.999987961299805,0.00404106971525959,9.992007221626409e-16,1.0,1.0884481585240736e-17
105000,9.999987387594574,0.00419994411750991,1.2212453270876722e-15,1.0,1.1355347884999869e-17
110000,9.999986813862753,0.004356153109414461,9.992007221626409e-16,1.0,1.18224560107831e-17
115000,9.999986240105853,0.004509741821587637,9.992007221626409e-16,1.0,1.2285869601594887e-17
120000,9.999985666325363,0.004660754611175184,1.2212453270876722e-15,1.0,1.2745651010370654e-17
125000,9.999985092522744,0.00480923506847714,9.992007221626409e-16,1.0,1.3201861333882865e-17
130000,9.999984518699433,0.0049552260343764315,8.881784197001252e-16,1.0,1.365456044186561e-17
135000,9.999983944856844,0.0050987696128001305,1.1102230246251565e-15,1.0,1.4103807005359033e-17
140000,9.999983370996368,0.0052399071866499145,1.1102230246251565e-15,1.0,1.4549658524358738e-17
145000,9.999982797119372,0.005378679422664193,9.992007221626409e-16,1.0,1.4992171447993806e-17
150000,9.999982223227203,0.005515126291896,1.2212453270876722e-15,1.0,1.5431400932581214e-17
