Timestep (s),Sum Voltage (V),Carry Out Voltage (V),Sum Error Rate (Dimless),Carry Out Error Rate (Dimless),Energy Dissipation (J)
0,9.999999240079791,0.00022714541639475033,1.0,1.0,1.0922128287468465e-17
5000,9.999998479993996,0.000450464695984477,1.0,1.0,1.5519596895068658e-17
10000,9.99999771974567,0.000670023132174957,1.0,1.0,1.8471150216528175e-17
15000,9.999996959337523,0.000885884872476555,1.0,1.0,2.0706523281752026e-17
20000,9.999996198772045,0.0010981129502003056,1.0,1.0,2.2543434966520465e-17
25000,9.999995438051519,0.001306769293499684,1.0,1.0,2.4127146176579627e-17
30000,9.999994677178023,0.001511914751347336,1.0,1.0,2.5535906956046298e-17
35000,9.999993916153441,0.0017136091103853901,1.0,1.0,2.681657892965496e-17
40000,9.999993154979467,0.0019119111189247328,1.0,1.0,2.799939375750872e-17
45000,9.999992393657616,0.00210687849712755,1.0,1.0,2.910496358743066e-17
50000,9.999991632189221,0.002298567965972455,1.0,1.0,3.0147927885520833e-17
55000,9.999990870575452,0.002487035257098888,1.0,1.0,3.1139110643639494e-17
60000,9.999990108817311,0.0026723351357636595,1.0,1.0,3.2086690195989305e-17
65000,9.999989346915639,0.00285452141336715,1.0,1.0,3.2997005203896955e-17
70000,9.999988584871122,0.0030336469721686395,1.0,1.0,3.387506637745369e-17
75000,9.999987822684298,0.0032097637779953453,1.0,1.0,3.472490236321202e-17
80000,9.999987060355556,0.0033829228929453054,1.0,1.0,3.554980024300858e-17
85000,9.999986297885142,0.003553174493709175,1.0,1.0,3.635247688748829e-17
90000,9.999985535273163,0.0037205678965103665,1.0,1.0,3.713520367317184e-17
95000,9.999984772519591,0.0038851515579523266,1.0,1.0,3.789989897490015e-17
100000,9.999984009624265,0.004046973100464359,1.0,1.0,3.864819791144173e-17
105000,9.999983246586895,0.0042060793214787635,1.0,1.0,3.938150572688454e-17
110000,9.999982483407065,0.004362516215576845,1.0,1.0,4.0101039197588016e-17
115000,9.999981720084232,0.004516328980611287,1.0,1.0,4.0807859141804817e-17
