Timestep (s),Sum Voltage (V),Carry Out Voltage (V),Sum Error Rate (Dimless),Carry Out Error Rate (Dimless),Energy Dissipation (J)
0,9.999999240079791,0.00022681376024999002,1.0,1.0,4.278698110899802e-19
5000,9.999998480073183,0.00044980700435564983,1.0,1.0,8.527841055588253e-19
10000,9.999997719983016,0.0006690449312441762,1.0,1.0,1.2747930533505397e-18
15000,9.999996959812083,0.0008845915953871954,1.0,1.0,1.6939457682351366e-18
20000,9.999996199563133,0.0010965099307533085,1.0,1.0,2.1102903315317147e-18
25000,9.99999543923887,0.0013048617765431725,1.0,1.0,2.523873817991605e-18
30000,9.999994678841947,0.0015097078908458603,1.0,1.0,2.9347423208347216e-18
35000,9.99999391837498,0.0017111079721886593,1.0,1.0,3.3429409760737984e-18
40000,9.999993157840537,0.0019091206786738747,1.0,1.0,3.74851398627693e-18
45000,9.999992397241147,0.0021038036477308703,1.0,1.0,4.151504643635488e-18
50000,9.999991636579296,0.002295213513802764,1.0,1.0,4.551955352319574e-18
55000,9.999990875857428,0.0024834059280804226,1.0,1.0,4.949907650409269e-18
60000,9.999990115077946,0.0026684355754198405,1.0,1.0,5.3454022310826965e-18
65000,9.999989354243214,0.002850356189504159,1.0,1.0,5.738478963276945e-18
70000,9.999988593355557,0.003029220573675191,1.0,1.0,6.129176911905278e-18
75000,9.999987832417263,0.0032050806118008235,1.0,1.0,6.517534357341267e-18
80000,9.99998707143058,0.0033779872992791456,1.0,1.0,6.903588814530258e-18
85000,9.999986310397716,0.0035479907356808834,1.0,1.0,7.287377051631603e-18
90000,9.999985549320849,0.003715140161567461,1.0,1.0,7.668935108010036e-18
95000,9.999984788202116,0.0038794839696058288,1.0,1.0,8.048298311871145e-18
100000,9.99998402704362,0.0040410697091605744,1.0,1.0,8.42550129751105e-18
105000,9.99998326584743,0.004199944110327616,1.0,1.0,8.800578021967312e-18
110000,9.999982504615577,0.004356153098561992,1.0,1.0,9.17356178126884e-18
115000,9.999981743350064,0.004509741810826404,1.0,1.0,9.544485226404822e-18
120000,9.999980982052858,0.004660754598606444,1.0,1.0,9.913380378732511e-18
125000,9.99998022072589,0.004809235055833791,1.0,1.0,1.0280278645074774e-17
130000,9.999979459371065,0.004955226022942824,1.0,1.0,1.0645210832429632e-17
135000,9.999978697990255,0.005098769600936667,1.0,1.0,1.100820716231832e-17
140000,9.999977936585296,0.005239907174664087,1.0,1.0,1.1369297284664786e-17
145000,9.999977175157998,0.0053786794104243784,1.0,1.0,1.172851029157573e-17
150000,9.99997641371014,0.00551512628039968,1.0,1.0,1.2085874730526712e-17
155000,9.999975652243473,0.00564928706990571,1.0,1.0,1.2441418617312852e-17
160000,9.999974890759715,0.00578120038731546,1.0,1.0,1.279516944882667e-17
165000,9.99997412926056,0.005910904184733045,1.0,1.0,1.3147154215232167e-17
170000,9.999973367747671,0.006038435759101724,1.0,1.0,1.3497399412176696e-17
175000,9.999972606222684,0.006163831770756621,1.0,1.0,1.3845931052372203e-17
180000,9.99997184468721,0.0062871282480172165,1.0,1.0,1.4192774677278346e-17
185000,9.999971083142828,0.006408360608743027,1.0,1.0,1.4537955368108034e-17
190000,9.999970321591096,0.00652756366095988,1.0,1.0,1.4881497756899634e-17
195000,9.999969560033543,0.006644771620656742,1.0,1.0,1.5223426037115084e-17
200000,9.999968798471675,0.0067600181180439796,1.0,1.0,1.556376397417796e-17
205000,9.99996803690697,0.006873336207526735,1.0,1.0,1.590253491551522e-17
210000,9.999967275340886,0.006984758380747697,1.0,1.0,1.6239761800685632e-17
215000,9.99996651377485,0.0070943165745827015,1.0,1.0,1.657546717099841e-17
220000,9.999965752210272,0.00720204217697542,1.0,1.0,1.690967317910647e-17
225000,9.999964990648536,0.007307966048666998,1.0,1.0,1.72424015981895e-17
230000,9.999964229091,0.007412118519070053,1.0,1.0,1.7573673831197335e-17
235000,9.999963467539006,0.0075145293996252485,1.0,1.0,1.7903510919627886e-17
240000,9.999962705993866,0.007615228001462415,1.0,1.0,1.8231933552218818e-17
245000,9.999961944456876,0.007714243129139873,1.0,1.0,1.8558962073568195e-17
250000,9.999961182929308,0.007811603097678208,1.0,1.0,1.888461649236562e-17
255000,9.999960421412414,0.007907335744791024,1.0,1.0,1.9208916489526745e-17
260000,9.999959659907425,0.008001468433484451,1.0,1.0,1.953188142620775e-17
265000,9.99995889841555,0.008094028057357615,1.0,1.0,1.9853530351640844e-17
270000,9.999958136937979,0.008185041062263115,1.0,1.0,2.017388201068574e-17
275000,9.999957375475882,0.008274533432955837,1.0,1.0,2.0492954851432068e-17
280000,9.99995661403041,0.008362530723583186,1.0,1.0,2.081076703241358e-17
285000,9.999955852602694,0.008449058051198739,1.0,1.0,2.1127336429897988e-17
290000,9.999955091193847,0.008534140104489253,1.0,1.0,2.144268064490956e-17
295000,9.999954329804964,0.008617801154718868,1.0,1.0,2.175681701012416e-17
300000,9.99995356843712,0.008700065060895561,1.0,1.0,2.206976259666173e-17
305000,9.999952807091372,0.008780955279628366,1.0,1.0,2.238153422068838e-17
310000,9.999952045768762,0.008860494867474516,1.0,1.0,2.269214845001112e-17
315000,9.999951284470312,0.008938706496442062,1.0,1.0,2.300162161044768e-17
320000,9.999950523197027,0.009015612447603268,1.0,1.0,2.3309969792122597e-17
325000,9.9999497619499,0.00909123462314792,1.0,1.0,2.3617208855669887e-17
330000,9.9999490007299,0.009165594565117528,1.0,1.0,2.392335443822603e-17
335000,9.999948239537986,0.00923871344251878,1.0,1.0,2.42284219594987e-17
340000,9.999947478375097,0.009310612071795244,1.0,1.0,2.4532426627576534e-17
345000,9.999946717242157,0.009381310909246961,1.0,1.0,2.483538344475889e-17
350000,9.999945956140076,0.009450830077568246,1.0,1.0,2.5137307213133325e-17
355000,9.999945195069749,0.009519189346757606,1.0,1.0,2.5438212540310104e-17
360000,9.999944434032056,0.00958640816278266,1.0,1.0,2.57381138448409e-17
365000,9.999943673027861,0.009652505638627087,1.0,1.0,2.6037025361674547e-17
370000,9.999942912058014,0.009717500560087272,1.0,1.0,2.6334961147593967e-17
375000,9.999942151123351,0.009781411405822569,1.0,1.0,2.6631935086379117e-17
380000,9.999941390224693,0.009844256341762439,1.0,1.0,2.692796089407694e-17
385000,9.99994062936285,0.009906053214391962,1.0,1.0,2.722305212425069e-17
390000,9.999939868538616,0.009966819584819544,1.0,1.0,2.751722217298125e-17
395000,9.999939107752773,0.010026572707286215,1.0,1.0,2.781048428392115e-17
400000,9.99993834700609,0.010085329555493242,1.0,1.0,2.8102851553330103e-17
405000,9.999937586299323,0.010143106807785178,1.0,1.0,2.8394336934998554e-17
410000,9.999936825633213,0.010199920863989098,1.0,1.0,2.868495324521744e-17
415000,9.999936065008493,0.010255787849822815,1.0,1.0,2.897471316752879e-17
420000,9.999935304425879,0.010310723615051176,1.0,1.0,2.9263629257718243e-17
425000,9.999934543886079,0.010364743750462882,1.0,1.0,2.955171394843662e-17
430000,9.999933783389787,0.01041786357818171,1.0,1.0,2.98389795541666e-17
435000,9.999933022937686,0.010470098161761487,1.0,1.0,3.0125438275919067e-17
