Timestep (s),Sum Voltage (V),Carry Out Voltage (V),Sum Error Rate (Dimless),Carry Out Error Rate (Dimless),Energy Dissipation (J)
0,9.999999240079791,0.00022681375830438058,9.992007221626409e-16,-2.220446049250313e-16,1.0504350977488773e-17
5000,9.999998480073186,0.0004498070037218554,9.992007221626409e-16,-2.220446049250313e-16,1.4686983243996573e-17
10000,9.99999771998305,0.0006690449308069074,9.992007221626409e-16,-2.220446049250313e-16,1.7226591163534752e-17
15000,9.999996959812227,0.0008845915923334232,9.992007221626409e-16,-2.220446049250313e-16,1.9052860768248937e-17
20000,9.99999619956354,0.0010965099278054974,1.1102230246251565e-15,-4.440892098500626e-16,2.0483462956345588e-17
25000,9.999995439239788,0.0013048617733965478,9.992007221626409e-16,0.0,2.166361165115403e-17
30000,9.999994678843748,0.0015097078850114772,9.992007221626409e-16,-4.440892098500626e-16,2.267151088518688e-17
35000,9.999993918378177,0.0017111079642551374,9.992007221626409e-16,-2.220446049250313e-16,2.3553977218615824e-17
40000,9.999993157845807,0.0019091206650917027,9.992007221626409e-16,-2.220446049250313e-16,2.4341198170916236e-17
45000,9.999992397249354,0.002103803627144127,8.881784197001252e-16,-2.220446049250313e-16,2.5053742650760498e-17
50000,9.999991636591508,0.002295213488209115,1.1102230246251565e-15,-2.220446049250313e-16,2.5706236370697755e-17
55000,9.999990875873685,0.002483405895311935,7.771561172376096e-16,-2.220446049250313e-16,2.6309438914863996e-17
60000,9.999990115098287,0.0026684355310733535,9.992007221626409e-16,-2.220446049250313e-16,2.6871488410926943e-17
65000,9.999989354267672,0.002850356131035206,1.1102230246251565e-15,-2.220446049250313e-16,2.739868412551989e-17
70000,9.999988593384161,0.0030292204968052276,1.1102230246251565e-15,-2.220446049250313e-16,2.789599816643383e-17
75000,9.999987832450039,0.003205080515722716,9.992007221626409e-16,-2.220446049250313e-16,2.8367421351254896e-17
80000,9.999987071467546,0.0033779871767853375,8.881784197001252e-16,-2.220446049250313e-16,2.8816203687623386e-17
85000,9.99998631043889,0.003547990586709716,9.992007221626409e-16,-2.220446049250313e-16,2.924502570866368e-17
90000,9.999985549366242,0.0037151399815543887,9.992007221626409e-16,-2.220446049250313e-16,2.96561231724661e-17
95000,9.999984788251734,0.003879483748907766,1.2212453270876722e-15,-2.220446049250313e-16,3.00513795372497e-17
100000,9.999984027097462,0.004041069442568811,1.1102230246251565e-15,-2.220446049250313e-16,3.043239569023783e-17
105000,9.999983265905488,0.004199943791134355,9.992007221626409e-16,-2.220446049250313e-16,3.080054331266679e-17
110000,9.999982504677842,0.004356152720038364,9.992007221626409e-16,-4.440892098500626e-16,3.115700627080263e-17
115000,9.999981743416514,0.004509741365023807,8.881784197001252e-16,-2.220446049250313e-16,3.150281310995135e-17
120000,9.999980982123466,0.00466075407526453,9.992007221626409e-16,-4.440892098500626e-16,3.183886284547667e-17
125000,9.999980220800625,0.004809234443407437,1.1102230246251565e-15,-4.440892098500626e-16,3.216594563952965e-17
130000,9.999979459449886,0.00495522531277382,1.1102230246251565e-15,-4.440892098500626e-16,3.248475953063977e-17
135000,9.99997869807311,0.005098768784216244,9.992007221626409e-16,-2.220446049250313e-16,3.2795924084400127e-17
140000,9.999977936672128,0.005239906237664593,1.1102230246251565e-15,-2.220446049250313e-16,3.309999161886868e-17
145000,9.999977175248743,0.005378678343600312,9.992007221626409e-16,-2.220446049250313e-16,3.339745650253411e-17
150000,9.999976413804724,0.005515125070033801,9.992007221626409e-16,-2.220446049250313e-16,3.36887629075118e-17
155000,9.99997565234181,0.005649285698156721,1.1102230246251565e-15,0.0,3.39743113150282e-17
160000,9.999974890861713,0.005781198840278955,1.1102230246251565e-15,-2.220446049250313e-16,3.425446400570487e-17
165000,9.999974129366116,0.005910902446498537,9.992007221626409e-16,-2.220446049250313e-16,3.452954971866106e-17
170000,9.99997336785667,0.0060384338124264865,9.992007221626409e-16,0.0,3.4799867625210387e-17
175000,9.999972606335003,0.006163829596580886,9.992007221626409e-16,0.0,3.506569073435416e-17
180000,9.999971844802712,0.006287125828534958,9.992007221626409e-16,-2.220446049250313e-16,3.532726882458456e-17
185000,9.999971083261368,0.006408357924414197,8.881784197001252e-16,-2.220446049250313e-16,3.558483097853494e-17
190000,9.999970321712516,0.006527560688613337,1.1102230246251565e-15,-2.220446049250313e-16,3.5838587783197585e-17
195000,9.999969560157673,0.006644768338332427,8.881784197001252e-16,-2.220446049250313e-16,3.6088733246992653e-17
200000,9.999968798598335,0.006760014503113345,9.992007221626409e-16,-2.220446049250313e-16,3.6335446476319716e-17
205000,9.999968037035966,0.006873332234755813,9.992007221626409e-16,0.0,3.6578893146622064e-17
210000,9.99996727547201,0.006984754023921899,1.2212453270876722e-15,-2.220446049250313e-16,3.681922679740794e-17
