Timestep (s),Sum Voltage (V),Carry Out Voltage (V),Sum Error Rate (Dimless),Carry Out Error Rate (Dimless),Energy Dissipation (J)
0,9.999999427251394,0.00022681376024999002,1.0,1.0,1.0960066675417897e-17
5000,9.999997421793058,0.00044980700435564983,1.0,1.0,1.554784798624481e-17
10000,9.999993930213238,0.0006690449312441762,1.0,1.0,1.8490649585299877e-17
15000,9.999988972471204,0.0008845915953871954,1.0,1.0,2.0716687051102596e-17
20000,9.999982562905238,0.0010965099307533085,1.0,1.0,2.2542949546759915e-17
25000,9.999974712311543,0.0013048617765431725,1.0,1.0,2.4114394302667602e-17
30000,9.999965429529286,0.0015097078908458603,1.0,1.0,2.5509139272562965e-17
35000,9.999954722245034,0.0017111079721886593,1.0,1.0,2.6773991048947244e-17
40000,9.99994259742505,0.0019091206786738747,1.0,1.0,2.7939164534425116e-17
45000,9.999929061565458,0.0021038036477308703,1.0,1.0,2.902527564748905e-17
50000,9.999914120846505,0.002295213513802764,1.0,1.0,3.004700793875942e-17
55000,9.999897781232832,0.0024834059287528903,1.0,1.0,3.1015184722418386e-17
60000,9.999880048541549,0.002668435577513693,1.0,1.0,3.19380112016063e-17
65000,9.999860928490188,0.002850356190387326,1.0,1.0,3.2821855402667684e-17
70000,9.999840426731573,0.0030292205740685093,1.0,1.0,3.367175888124098e-17
75000,9.99981854887988,0.0032050806132464856,1.0,1.0,3.449178195721591e-17
80000,9.999795300530604,0.0033779872999755633,1.0,1.0,3.528524378269007e-17
85000,9.999770687276209,0.003547990737814584,1.0,1.0,3.6054893405160045e-17
90000,9.999744714718641,0.003715140165117891,1.0,1.0,3.6803034285382305e-17
95000,9.999717388479525,0.0038794839742809007,1.0,1.0,3.75316166515004e-17
100000,9.999688714208633,0.00404106971525959,1.0,1.0,3.824230714798042e-17
105000,9.999658697591036,0.00419994411750991,1.0,1.0,3.893654214903897e-17
110000,9.999627344353227,0.004356153109414461,1.0,1.0,3.961556911801059e-17
115000,9.99959466026847,0.004509741821587637,1.0,1.0,4.0280479084165527e-17
120000,9.999560651161516,0.004660754611175184,1.0,1.0,4.0932232426509224e-17
125000,9.999525322912842,0.00480923506847714,1.0,1.0,4.157167955094697e-17
130000,9.999488681462482,0.0049552260343764315,1.0,1.0,4.219957762569395e-17
135000,9.99945073281357,0.0050987696128001305,1.0,1.0,4.281660424167658e-17
140000,9.999411483035608,0.0052399071866499145,1.0,1.0,4.342336865062247e-17
145000,9.999370938267568,0.005378679422664193,1.0,1.0,4.4020421171170864e-17
150000,9.9993291047208,0.005515126291896,1.0,1.0,4.4608260690017e-17
155000,9.99928598868184,0.005649287083054879,1.0,1.0,4.5187341442442844e-17
160000,9.999241596515109,0.0057812004010469814,1.0,1.0,4.5758078438573015e-17
165000,9.999195934665527,0.00591090419679507,1.0,1.0,4.632085214097037e-17
170000,9.99914900966109,0.006038435770291488,1.0,1.0,4.68760124574962e-17
175000,9.999100828115383,0.006163831781298459,1.0,1.0,4.7423882165993106e-17
180000,9.99905139673007,0.006287128258477133,1.0,1.0,4.7964759865429106e-17
185000,9.999000722297382,0.0064083606165864955,1.0,1.0,4.8498922529635596e-17
190000,9.998948811702567,0.006527563668874965,1.0,1.0,4.902662772666231e-17
195000,9.99889567192637,0.006644771629765407,1.0,1.0,4.9548115554766265e-17
200000,9.998841310047503,0.006760018126080882,1.0,1.0,5.006361033771333e-17
205000,9.99878573324514,0.006873336215262983,1.0,1.0,5.057332211413664e-17
210000,9.998728948801435,0.006984758386970281,1.0,1.0,5.1077447950922464e-17
215000,9.998670964104054,0.007094316577929594,1.0,1.0,5.1576173104591826e-17
220000,9.998611786648755,0.007202042181056946,1.0,1.0,5.2069672051765664e-17
225000,9.998551424042,0.007307966052732643,1.0,1.0,5.255810940596709e-17
230000,9.998489884003611,0.007412118520517534,1.0,1.0,5.3041640735688545e-17
