Timestep (s),Sum Voltage (V),Carry Out Voltage (V),Sum Error Rate (Dimless),Carry Out Error Rate (Dimless),Energy Dissipation (J)
0,9.983268638466665,9.999999427186427,-2.220446049250313e-16,1.1102230246251565e-15,2.8860501041561375e-19
5000,9.966814753459671,9.999998854374073,0.0,1.1102230246251565e-15,5.744424964388558e-19
10000,9.950633749471661,9.999998281563984,-2.220446049250313e-16,8.881784197001252e-16,8.575633253311052e-19
15000,9.934721109346503,9.999997708757192,8.881784197001252e-16,1.1102230246251565e-15,1.1380158951701742e-18
20000,9.919072391206617,9.99999713595471,0.0,9.992007221626409e-16,1.4158475599021555e-18
25000,9.903683227159823,9.999996563157532,0.0,9.992007221626409e-16,1.6911046547061644e-18
30000,9.888549322030846,9.99999599036664,-2.220446049250313e-16,1.1102230246251565e-15,1.9638325209402694e-18
35000,9.873666452116689,9.999995417582996,3.3306690738754696e-16,8.881784197001252e-16,2.234075530389579e-18
40000,9.859030463965432,9.999994844807548,2.220446049250313e-16,1.2212453270876722e-15,2.5018771085425584e-18
45000,9.844637273177852,9.999994272041226,2.220446049250313e-16,9.992007221626409e-16,2.7672797576042364e-18
50000,9.830482863231387,9.999993699284948,2.220446049250313e-16,1.1102230246251565e-15,3.030325078586601e-18
55000,9.816563284325815,9.999993126539614,-8.881784197001252e-16,9.992007221626409e-16,3.291053792977698e-18
60000,9.802874652250255,9.999992553806111,4.440892098500626e-16,1.1102230246251565e-15,3.549505763761472e-18
65000,9.789413147270993,9.999991981085309,5.551115123125783e-16,1.1102230246251565e-15,3.805720015801451e-18
70000,9.77617501303956,9.999991408378063,8.881784197001252e-16,1.1102230246251565e-15,4.059734755753785e-18
75000,9.76315655552077,9.999990835685217,-4.440892098500626e-16,9.992007221626409e-16,4.3115873913821366e-18
80000,9.7503541419402,9.9999902630076,-2.220446049250313e-16,1.1102230246251565e-15,4.561314550501773e-18
85000,9.73776419975061,9.999989690346025,0.0,9.992007221626409e-16,4.808952099148832e-18
90000,9.725383215616999,9.999989117701293,2.220446049250313e-16,1.1102230246251565e-15,5.054535159467414e-18
95000,9.713207734419914,9.999988545074194,3.3306690738754696e-16,9.992007221626409e-16,5.2980981271927104e-18
100000,9.701234358276508,9.9999879724655,3.3306690738754696e-16,8.881784197001252e-16,5.53967468836304e-18
105000,9.689459745579027,9.999987399875971,2.220446049250313e-16,8.881784197001252e-16,5.779297835844532e-18
110000,9.677880610050456,9.99998682730636,0.0,1.1102230246251565e-15,6.016999885444539e-18
115000,9.66649371981676,9.9999862547574,-4.440892098500626e-16,9.992007221626409e-16,6.2528124913744e-18
120000,9.655295896495586,9.999985682229818,-8.881784197001252e-16,9.992007221626409e-16,6.486766661500369e-18
