Previous Input,Current Input,Sum Propagation Delay,Cout Propagation Delay,Energy Dissipation at tau (kT),Energy Dissipation Total (kT)
000,000,0.0,0.0,47059.9022343208,111690.5176322526
000,001,6372000.0,0.0,71313.48256471756,135898.91427725065
000,010,6385500.0,0.0,71338.49568700524,135750.47649858153
000,011,0.0,6217000.0,95836.64663220386,175627.29172884492
000,100,3757500.0,0.0,57970.387536842485,122605.42652183663
000,101,5539500.0,8733000.0,128687.44016002766,209530.06850902678
000,110,5552500.0,8745000.0,128747.17959905553,209464.19573093136
000,111,3758000.0,6217000.0,106781.50411537108,186579.1349579372
001,000,5025500.0,0.0,68071.60187046746,133016.39265848746
001,001,0.0,0.0,46922.4949208358,111376.7565490415
001,010,0.0,0.0,58106.005878602315,122401.32285845523
001,011,5753000.0,6217000.0,111792.41333878573,191908.75616467654
001,100,7987000.0,5772000.0,121803.63099476493,187379.68123349943
001,101,3186500.0,6256000.0,102703.07660460047,182815.74581315002
001,110,3251500.0,6320000.0,114108.20177761615,194131.0750004709
001,111,8804500.0,5501500.0,176806.8009538534,257264.91794747312
010,000,4997500.0,0.0,69295.55215372957,134240.50140143657
010,001,0.0,0.0,58249.8568312022,122720.56815854399
010,010,0.0,0.0,46804.70777922188,111083.73008831838
010,011,5682000.0,6217000.0,112949.21435306914,193066.83172299285
010,100,7944000.0,5626000.0,121898.6000338391,187461.39892228207
010,101,3257000.0,6326000.0,114242.54797682156,194399.1467854017
010,110,3187000.0,6256000.0,102606.87625208647,182587.32075426623
010,111,8730500.0,5609000.0,177310.93234504943,257761.27800464354
011,000,0.0,4337500.0,73500.51494609489,138286.17915494402
011,001,8163500.0,4978000.0,100607.10118826592,165668.56437743697
011,010,8212000.0,4969500.0,99746.7552320055,164629.99531614062
011,011,0.0,0.0,57964.41610135856,137442.94593671022
011,100,3757500.0,4337500.0,84411.13196158464,149200.92335085527
011,101,7427500.0,10516000.0,155976.60622084426,237796.84026938726
011,110,7475000.0,10562500.0,155132.83082915292,236847.3602674645
011,111,3757500.0,0.0,68875.08953488476,148357.80511740214
100,000,2527500.0,0.0,57159.922068785796,121878.2456324701
100,001,6321000.0,0.0,76097.90678514005,140683.76397702642
100,010,6336000.0,0.0,76156.07453207107,140568.4822485486
100,011,2527500.0,6217000.0,105936.51894774527,185815.10389308984
100,100,0.0,0.0,47056.54371143065,111690.8020474408
100,101,5740500.0,8733000.0,119157.28400975313,199999.9124053651
100,110,5752500.0,8745000.0,119210.91606451926,199927.93223990707
100,111,0.0,6217000.0,95867.82718914987,175664.67680084697
101,000,3227000.0,4914500.0,94896.5710594313,160019.64768028507
101,001,5728500.0,4933000.0,87605.0194509253,152447.06783303554
101,010,5734500.0,4933500.0,98737.45452722379,163426.3544608491
101,011,4896500.0,0.0,131568.8188408097,211688.99131631939
101,100,8171500.0,7449000.0,100388.55913595001,166030.99796359922
101,101,0.0,0.0,58104.613672157924,137852.32447286005
101,110,0.0,0.0,69561.36799406144,149208.82186545018
101,111,8900000.0,0.0,137375.4625722831,217832.1807164072
110,000,3162000.0,4913500.0,96025.14650856805,161147.33097602613
110,001,5734500.0,4933500.0,98876.50203841743,163737.46831515405
110,010,5728500.0,4933000.0,87488.41302904784,152159.00814705386
110,011,4771000.0,0.0,132275.09890717376,212395.56274073364
110,100,8143000.0,7422000.0,101579.65740722003,167214.7268787264
110,101,0.0,0.0,69694.66717283474,149475.3862530627
110,110,0.0,0.0,58007.57615270872,137622.5819754431
110,111,8828000.0,0.0,138384.33075369417,218833.160084778
111,000,681000.0,4337500.0,78609.57777775932,143395.24198660793
111,001,8163500.0,4978000.0,105716.14671691389,170777.60990608518
111,010,8212000.0,4969500.0,104855.80574526323,169739.0458293977
111,011,681000.0,0.0,63073.478902795025,142552.00873814645
111,100,1977000.0,4337500.0,80143.34423451354,144932.71120178758
111,101,7470500.0,10516000.0,152007.80737236797,233828.0414209087
111,110,7517500.0,10562500.0,151159.36681471893,232873.896253026
111,111,1977000.0,0.0,64607.30181774672,144089.59297752482
