Timestep (s),Sum Voltage (V),Carry Out Voltage (V),Sum Error Rate (Dimless),Carry Out Error Rate (Dimless),Energy Dissipation (J)
0,0.0006647121800114806,4.999974489512602,8.08242361927114e-13,1.0,3.282169556448402e-19
100,0.0013266942148254047,4.99994897906482,8.664180484174722e-13,1.0,6.505019341880692e-19
200,0.0019859560710789098,4.999923468680684,9.282574708890934e-13,1.0,9.669879578380713e-19
300,0.0026425077213176533,4.999897958384142,9.938716516444401e-13,1.0,1.2778056030832468e-18
400,0.0032963591368934285,4.999872448199055,1.0637046798933625e-12,1.0,1.583082980286702e-18
500,0.003947520284100376,4.999846938149204,1.1375345110309354e-12,1.0,1.8829457196799364e-18
600,0.004596001116203577,4.999821428258289,1.2159162565694714e-12,1.0,2.1775169626796153e-18
700,0.005241811572640052,4.999795918549922,1.2990719611138957e-12,1.0,2.466917358229224e-18
800,0.00588496157061511,4.999770409047636,1.3875567361765206e-12,1.0,2.751265063906101e-18
900,0.006525461004130179,4.999744899774878,1.4808154702450338e-12,1.0,3.0306757514671044e-18
1000,0.007163319740210863,4.999719390755016,1.5799583863440603e-12,1.0,3.305262616562208e-18
1100,0.007798547615663022,4.999693882011331,1.6852075290785251e-12,1.0,3.5751363923024515e-18
1200,0.008431154434922762,4.999668373567025,1.7965628984484283e-12,1.0,3.840405366392857e-18
1300,0.009061149967624298,4.999642865445216,1.9145796059660825e-12,1.0,4.101175401535454e-18
1400,0.009688543946975797,4.999617357668938,2.0390356070265625e-12,1.0,4.357549958823561e-18
1500,0.010313346067921723,4.999591850261145,2.171374191561881e-12,1.0,4.609630123845951e-18
1600,0.010935565985873766,4.999566343244707,2.3111512703621884e-12,1.0,4.857514635240009e-18
1700,0.011555213313356967,4.999540836642414,2.4593660441496468e-12,1.0,5.1012999154394565e-18
1800,0.012172297622484845,4.99951533047697,2.615685446016869e-12,1.0,5.341080103361371e-18
1900,0.012786896391172142,4.999489824771,2.7809976543835546e-12,1.0,5.5769470718292846e-18
2000,0.013398950852304843,4.999464319547045,2.9559688030644793e-12,1.0,5.8089905142077875e-18
2100,0.014008470444762958,4.999438814827567,3.140820936664568e-12,1.0,6.037297931119217e-18
2200,0.0146154645630985,4.999413310634942,3.3359981443936704e-12,1.0,6.2619546854797095e-18
2300,0.015219942554555981,4.999387806991468,3.5420555377640994e-12,1.0,6.483044041713416e-18
2400,0.015821913718781354,4.999362303919358,3.7595482282881676e-12,1.0,6.7006472057074686e-18
2500,0.01642138730976061,4.999336801440745,3.9892533720831125e-12,1.0,6.9148433653513e-18
2600,0.01701837253190276,4.999311299577682,4.231726080661247e-12,1.0,7.125709731530973e-18
2700,0.017612878543341166,4.999285798352139,4.487299420929958e-12,1.0,7.333321579416982e-18
2800,0.01820525698992135,4.999260297786002,4.756861571308946e-12,1.0,7.537752201580768e-18
2900,0.018795226053020083,4.99923479790108,5.041300710217911e-12,1.0,7.739073199706329e-18
3000,0.01938279721606924,4.999209298719099,5.340838882261778e-12,1.0,7.937354289999676e-18
3100,0.019967981904793083,4.999183800261704,5.65647528816271e-12,1.0,8.13266341889686e-18
3200,0.020550791487608223,4.99915830255046,5.9889870840379444e-12,1.0,8.325066804252281e-18
3300,0.021131237275793087,4.999132805606848,6.339151426004719e-12,1.0,8.51462897624025e-18
3400,0.021709330523942083,4.999107309452272,6.707856492482733e-12,1.0,8.70141281790134e-18
3500,0.02228508243023666,4.999081814108052,7.0956573949843005e-12,1.0,8.885479605274099e-18
3600,0.022858504136757538,4.9990563195954305,7.50388640113897e-12,1.0,9.066889047055357e-18
3700,0.023429606729777203,4.999030825935567,7.933209644761519e-12,1.0,9.24569932374475e-18
3800,0.023998401240162212,4.999005333149543,7.911893362688716e-12,1.0,9.421967126227158e-18
3900,0.024564898643559076,4.998979841258357,8.859246669601362e-12,1.0,9.595747693760348e-18
4000,0.025129109860867086,4.9989543502829275,9.358069874565444e-12,1.0,9.767094851335373e-18
4100,0.02569104575837281,4.998928860244095,9.881873097583593e-12,1.0,9.936061046382445e-18
4200,0.026250717148268456,4.998903371162619,1.0432432695495208e-11,1.0,1.0102697384801479e-17
4300,0.02680813478878793,4.998877883059179,1.101019275751014e-11,1.0,1.0267053666297461e-17
4400,0.027363309384575055,4.9988523959543745,1.1617262707375176e-11,1.0,1.042917841900954e-17
4500,0.027916251587031704,4.998826909868725,1.2253975611997703e-11,1.0,1.0589118933416326e-17
4600,0.02846697199459098,4.998801424822671,1.2922218850519585e-11,1.0,1.0746921295516609e-17
4700,0.029015481153043615,4.998775940836573,1.3623213668267908e-11,1.0,1.0902630419274086e-17
4800,0.029561789555803894,4.998750457930714,1.4358181310569762e-11,1.0,1.1056290078326776e-17
4900,0.030105907644275082,4.998724976125295,1.5128787111962083e-11,1.0,1.1207942936957616e-17
5000,0.030647845808098123,4.99869949544044,1.5936474362376885e-11,1.0,1.1357630580331432e-17
5100,0.031187614385478367,4.998674015896191,1.678279737404864e-11,1.0,1.1505393543995059e-17
5200,0.03172522366346434,4.998648537512516,1.766942148151429e-11,1.0,1.1651271342652399e-17
5300,0.03226068387829537,4.998623060309298,1.8598012019310772e-11,1.0,1.1795302498215856e-17
5400,0.03279400521560937,4.9985975843063475,1.957056738888241e-11,1.0,1.1937524567141951e-17
5500,0.03332519781082915,4.998572109523392,2.0588197813253828e-11,1.0,1.2077974167061504e-17
