Timestep (s),Sum Voltage (V),Carry Out Voltage (V),Sum Error Rate (Dimless),Carry Out Error Rate (Dimless),Energy Dissipation (J)
0,4.996234732380259,4.999979696611581,1.1158851620507448e-12,7.545075675352564e-13,4.8592912367810324e-20
100,4.99248367055046,4.999959393490729,1.6371348721122558e-12,7.559508574672691e-13,9.709465900992611e-20
200,4.9887467638520375,4.999939090656363,2.3854251907096113e-12,7.576161920042068e-13,1.4550578393429142e-19
300,4.985023959525542,4.999918788127337,3.4567904094728874e-12,7.593925488436071e-13,1.9382668649874542e-19
400,4.981315205028341,4.999898485922445,4.986233648196503e-12,7.609468610780823e-13,2.4205626508840664e-19
500,4.977620446769176,4.999878184060423,7.16093850883226e-12,7.625011733125575e-13,2.901960050540322e-19
600,4.9739396322955605,4.999857882559942,1.0241363312957219e-11,7.640554855470327e-13,3.3824630080091234e-19
700,4.970272709371988,4.999837581439616,1.4587664409759782e-11,7.65831842386433e-13,3.8620754435146132e-19
800,4.966619625978731,4.999817280717996,2.0696222513549856e-11,7.676081992258332e-13,4.340801253760906e-19
900,4.9629803303106454,4.999796980413574,2.9247382293817736e-11,7.691625114603085e-13,4.8186443120813935e-19
1000,4.959354770775998,4.999776680544783,4.117084451138453e-11,7.707168236947837e-13,5.295608468614527e-19
1100,4.95574289599529,4.999756381129993,5.773159728050814e-11,7.723821582317214e-13,5.771697550466283e-19
1200,4.952144654800101,4.999736082187517,8.064648948646891e-11,7.740474927686591e-13,6.24691536181506e-19
1300,4.948559996231937,4.999715783735606,1.1223066920251767e-10,7.756018050031344e-13,6.721265684133076e-19
1400,4.944988869541095,4.999695485792454,1.556004214364748e-10,7.773781618425346e-13,7.194752276439381e-19
1500,4.941431224185529,4.999675188376193,2.14929740671721e-10,7.791545186819349e-13,7.66737887533339e-19
1600,4.937887009829737,4.999654891504897,2.95790614224245e-10,7.809308755213351e-13,8.139149195213308e-19
1700,4.934356176343644,4.99963459519658,4.055857871776425e-10,7.824851877558103e-13,8.610066928446616e-19
