Timestep (s),Sum Voltage (V),Carry Out Voltage (V),Sum Error Rate (Dimless),Carry Out Error Rate (Dimless),Energy Dissipation (J)
0,0.0006647121800114806,4.999974489512608,1.0,7.547296121401814e-13,6.840777363043793e-20
100,0.0013266867346971908,4.9999489790648495,1.0,7.569500581894317e-13,1.3672765985613315e-19
200,0.0019859367409018358,4.999923468680773,1.0,7.588374373312945e-13,2.0496009077125063e-19
300,0.0026424752001133834,4.9998979583843495,1.0,7.607248164731573e-13,2.7310534056748055e-19
400,0.0032963150383490533,4.999872448199473,1.0,7.629452625224076e-13,3.41163952428411e-19
500,0.003947469108772151,4.99984693814996,1.0,7.649436639667329e-13,4.0913635434826434e-19
600,0.00459595018989406,4.999821428259553,1.0,7.671641100159832e-13,4.77022972216134e-19
700,0.005241770986808636,4.999795918551916,1.0,7.691625114603085e-13,5.448242298414835e-19
800,0.005884944131760177,4.999770409050638,1.0,7.712719352070962e-13,6.125405489550768e-19
900,0.006525482185577436,4.99974489977923,1.0,7.73381358953884e-13,6.8017234923287095e-19
1000,0.00716339763632674,4.999719390761131,1.0,7.754907827006718e-13,7.477200483117379e-19
1100,0.007798702902336688,4.9996938820197,1.0,7.773781618425346e-13,8.151840618017888e-19
1200,0.008431410329821637,4.999668373578223,1.0,7.795986078917849e-13,8.825648033011892e-19
1300,0.009061532195945353,4.999642865459911,1.0,7.815970093361102e-13,9.498626844123307e-19
1400,0.009689080707186954,4.9996173576878995,1.0,7.838174553853605e-13,1.0170781147559084e-18
1500,0.010314068001638772,4.999591850285248,1.0,7.858158568296858e-13,1.084211501987201e-18
1600,0.01093650614884336,4.9995663432749415,1.0,7.882583474838611e-13,1.151263251807973e-18
1700,0.011556407148744192,4.999540836679892,1.0,7.902567489281864e-13,1.218233767984949e-18
1800,0.012173782935602494,4.999515330522935,1.0,7.922551503725117e-13,1.2851234523570612e-18
1900,0.012788645374942674,4.999489824826833,1.0,7.94475596421762e-13,1.3519327048588999e-18
2000,0.01340069738419613,4.999464319614274,1.0,7.968070647734748e-13,1.4186619998025543e-18
2100,0.014010243912518486,4.999438814907872,1.0,7.988054662178001e-13,1.4853116623937416e-18
2200,0.014617296704656967,4.999413310730168,1.0,8.009148899645879e-13,1.5518820869760214e-18
2300,0.015221867439569572,4.999387807103629,1.0,8.031353360138382e-13,1.6183736660431822e-18
2400,0.015823967730724794,4.999362304050647,1.0,8.051337374581635e-13,1.6847867902492243e-18
2500,0.016423609126574045,4.999336801593544,1.0,8.075762281123389e-13,1.75112184841861e-18
2600,0.01702080311100468,4.999311299754567,1.0,8.096856518591267e-13,1.81737922756385e-18
2700,0.01761556110384724,4.9992857985558885,1.0,8.116840533034519e-13,1.883559312900687e-18
2800,0.018207894461298745,4.999260298019612,1.0,8.141265439576273e-13,1.9496624878494396e-18
2900,0.018797814476252627,4.999234798167767,1.0,8.162359677044151e-13,2.015689134064837e-18
3000,0.019385332378876238,4.99920929902231,1.0,8.182343691487404e-13,2.081639631437712e-18
3100,0.019970459336993287,4.999183800605124,1.0,8.206768598029157e-13,2.1475143581126474e-18
3200,0.02055320645649694,4.9991583029380235,1.0,8.22675261247241e-13,2.2133136904979836e-18
3300,0.02113358478180371,4.999132806042749,1.0,8.250067295989538e-13,2.2790380032806062e-18
3400,0.021711605296183,4.99910730994097,1.0,8.273381979506667e-13,2.344687669440025e-18
3500,0.022287278922309268,4.999081814654284,1.0,8.29558643999917e-13,2.410263060256982e-18
3600,0.022860616522613397,4.999056320204217,1.0,8.318901123516298e-13,2.4757645453290823e-18
3700,0.02343162889968267,4.999030826612225,1.0,8.337774914934926e-13,2.5411924925813127e-18
3800,0.024000326796691653,4.999005333899692,1.0,8.362199821476679e-13,2.606547268281081e-18
3900,0.024566720897749323,4.998979842087932,1.0,8.386624728018433e-13,2.6718292370472682e-18
4000,0.025130821828401203,4.998954351198187,1.0,8.406608742461685e-13,2.737038761865914e-18
4100,0.025692640155943934,4.998928861251631,1.0,8.427702979929563e-13,2.802176204097599e-18
4200,0.02625218638980812,4.998903372269366,1.0,8.452127886471317e-13,2.8672419234950194e-18
4300,0.026809470982048167,4.9988778842724235,1.0,8.473222123939195e-13,2.9322362782106706e-18
4400,0.027364504327620196,4.998852397281767,1.0,8.496536807456323e-13,2.997159624810169e-18
4500,0.027917296764839103,4.998826911318289,1.0,8.519851490973451e-13,3.0620123182845354e-18
4600,0.028467858575705683,4.998801426402812,1.0,8.542055951465954e-13,3.126794712059065e-18
4700,0.029016199986325802,4.99877594255609,1.0,8.566480858007708e-13,3.1915071580129616e-18
4800,0.02956233116725599,4.998750459798809,1.0,8.588685318500211e-13,3.2561500064786537e-18
4900,0.030106262233895727,4.998724978151583,1.0,8.610889778992714e-13,3.3207236062636192e-18
5000,0.030648003246854183,4.998699497634958,1.0,8.635314685534468e-13,3.385228304656506e-18
5100,0.031187564212316117,4.998674018269414,1.0,8.659739592076221e-13,3.4496644474442717e-18
5200,0.0317249550823786,4.998648540075359,1.0,8.680833829544099e-13,3.51403237891155e-18
5300,0.032260185755437286,4.9986230630731345,1.0,8.704148513061227e-13,3.578332441864436e-18
5400,0.03279326607653467,4.998597587283014,1.0,8.727463196578356e-13,3.642564977636048e-18
5500,0.03332420583768576,4.998572112725203,1.0,8.750777880095484e-13,3.706730326097584e-18
5600,0.033853014778297774,4.998546639419837,1.0,8.772982340587987e-13,3.770828825671577e-18
5700,0.03437970258546484,4.998521167386987,1.0,8.798517470154366e-13,3.834860813336419e-18
5800,0.03490427889430286,4.998495696646655,1.0,8.819611707622244e-13,3.8988266246466696e-18
5900,0.03542675328836489,4.9984702272187755,1.0,8.846257060213247e-13,3.9627265937399314e-18
6000,0.035947135299860974,4.998444759123216,1.0,8.86846152070575e-13,4.0265610533417356e-18
6100,0.036465434410095365,4.9984192923797774,1.0,8.891776204222879e-13,4.090330334782274e-18
6200,0.03698166004977143,4.998393827008194,1.0,8.917311333789257e-13,4.154034768011031e-18
6300,0.037495821599344926,4.998368363028132,1.0,8.93951579428176e-13,4.2176746815970735e-18
6400,0.03800792838926962,4.998342900459194,1.0,8.963940700823514e-13,4.2812504027470575e-18
6500,0.0385179897004065,4.998317439320914,1.0,8.988365607365267e-13,4.3447622573093545e-18
6600,0.03902601476431772,4.998291979632761,1.0,9.01057006785777e-13,4.4082105697944005e-18
6700,0.03953201276361758,4.998266521414137,1.0,9.034994974399524e-13,4.471595663373776e-18
6800,0.040035992832243704,4.998241064684379,1.0,9.059419880941277e-13,4.534917859900175e-18
6900,0.04053796405577115,4.998215609462759,1.0,9.083844787483031e-13,4.598177479908902e-18
7000,0.0410379354717816,4.998190155768482,1.0,9.108269694024784e-13,4.6613748426338955e-18
7100,0.041535916070103214,4.99816470362069,1.0,9.131584377541913e-13,4.724510266014971e-18
7200,0.04203191479316893,4.998139253038458,1.0,9.156009284083666e-13,4.787584066710515e-18
7300,0.04252594053635349,4.998113804040797,1.0,9.181544413650045e-13,4.850596560103955e-18
7400,0.043018002148149034,4.998088356646653,1.0,9.205969320191798e-13,4.913548060318372e-18
7500,0.04350810843061248,4.998062910874907,1.0,9.229284003708926e-13,4.976438880220946e-18
7600,0.0439962681395577,4.998037466744377,1.0,9.252598687226055e-13,5.039269331436826e-18
7700,0.04448248998491139,4.998012024273817,1.0,9.278133816792433e-13,5.102039724357263e-18
7800,0.0449667826309977,4.997986583481914,1.0,9.303668946358812e-13,5.164750368147692e-18
7900,0.04544915469680403,4.997961144387294,1.0,9.32698362987594e-13,5.22740157076123e-18
8000,0.04592961475630537,4.997935707008518,1.0,9.353628982466944e-13,5.289993638945057e-18
8100,0.04640817133871001,4.997910271364085,1.0,9.379164112033322e-13,5.352526878252403e-18
8200,0.04688483292877461,4.997884837472429,1.0,9.40247879555045e-13,5.41500159305119e-18
8300,0.04735960796708055,4.997859405351921,1.0,9.42801392511683e-13,5.477418086533252e-18
8400,0.04783250485032381,4.997833975020869,1.0,9.452438831658583e-13,5.539776660720525e-18
8500,0.04830353193156058,4.99780854649752,1.0,9.477973961224961e-13,5.602077616480536e-18
8600,0.0487726975205229,4.997783119800055,1.0,9.50128864474209e-13,5.664321253533615e-18
8700,0.04924000988384788,4.997757694946595,1.0,9.529044220357719e-13,5.726507870460661e-18
8800,0.049705477245416206,4.997732271955199,1.0,9.554579349924097e-13,5.788637764711576e-18
8900,0.050169107786540025,4.997706850843861,1.0,9.57900425646585e-13,5.850711232618147e-18
9000,0.05063090964629371,4.997681431630516,1.0,9.605649609056854e-13,5.912728569403525e-18
9100,0.05109089092176456,4.997656014333036,1.0,9.630074515598608e-13,5.974690069183372e-18
9200,0.05154905966827262,4.997630598969231,1.0,9.654499422140361e-13,6.036596024984827e-18
9300,0.05200542389968877,4.997605185556849,1.0,9.681144774731365e-13,6.0984467287493095e-18
9400,0.0524599915886911,4.997579774113579,1.0,9.706679904297744e-13,6.16024247134556e-18
9500,0.0529127706669731,4.997554364657045,1.0,9.732215033864122e-13,6.22198354257584e-18
9600,0.053363769025541685,4.997528957204815,1.0,9.758860386455126e-13,6.2836702311881844e-18
9700,0.053812994514972276,4.9975035517743915,1.0,9.784395516021505e-13,6.3453028248798075e-18
9800,0.05426045494561103,4.99747814838322,1.0,9.808820422563258e-13,6.406881610310806e-18
9900,0.05470615808790528,4.997452747048682,1.0,9.836575998178887e-13,6.4684068731124536e-18
10000,0.055150111672573145,4.997427347788101,1.0,9.862111127745266e-13,6.529878897894203e-18
10100,0.05559232339087458,4.997401950618739,1.0,9.885425811262394e-13,6.5912979682518044e-18
10200,0.05603280089490412,4.997376555557801,1.0,9.914291609902648e-13,6.652664366781607e-18
10300,0.0564715517977607,4.997351162622428,1.0,9.938716516444401e-13,6.713978375081825e-18
10400,0.05690858367381682,4.997325771829703,1.0,9.96869253810928e-13,6.7752402737675424e-18
10500,0.05734390405897852,4.9973003831966505,1.0,9.992007221626409e-13,6.83645034247583e-18
10600,0.05777752045088562,4.997274996740234,1.0,1.0019762797242038e-12,6.897608859874378e-18
10700,0.05820944030916549,4.99724961247736,1.0,1.0044187703783791e-12,6.958716103671009e-18
10800,0.05863967105567399,4.997224230424875,1.0,1.007416372544867e-12,7.01977235062607e-18
10900,0.05906822007470726,4.997198850599564,1.0,1.0097478408965799e-12,7.080777876553266e-18
11000,0.05949509471323037,4.997173473018157,1.0,1.0125233984581428e-12,7.141732956335876e-18
11100,0.059920302281145185,4.997148097697324,1.0,1.0154099783221682e-12,7.202637863927556e-18
11200,0.06034385005147145,4.997122724653677,1.0,1.0178524689763435e-12,7.263492872368649e-18
11300,0.06076574526057121,4.997097353903768,1.0,1.0206280265379064e-12,7.32429825378927e-18
11400,0.06118599510840239,4.9970719854640935,1.0,1.0231815394945443e-12,7.385054279422192e-18
11500,0.061604606758735594,4.9970466193510905,1.0,1.0258460747536446e-12,7.445761219608733e-18
11600,0.06202158733933767,4.9970212555811395,1.0,1.0286216323152075e-12,7.506419343802922e-18
11700,0.062436943942232766,4.996995894170562,1.0,1.0313971898767704e-12,7.567028920588938e-18
11800,0.0628506836238862,4.996970535135623,1.0,1.0340617251358708e-12,7.627590217686271e-18
11900,0.06326281340544587,4.99694517849253,1.0,1.0366152380925087e-12,7.688103501952265e-18
12000,0.06367334027293883,4.996919824257434,1.0,1.039501817956534e-12,7.748569039398595e-18
12100,0.06408227117749044,4.996894472446428,1.0,1.042277375518097e-12,7.808987095195347e-18
12200,0.06448961303551948,4.996869123075549,1.0,1.0451639553821224e-12,7.8693579336798e-18
12300,0.06489537272896878,4.996843776160778,1.0,1.0477174683387602e-12,7.929681818365861e-18
12400,0.06529955710548767,4.996818431718037,1.0,1.0504930259003231e-12,7.989959011952568e-18
12500,0.06570217297866883,4.9967930897631945,1.0,1.0533796057643485e-12,8.050189776331453e-18
12600,0.06610322712823093,4.9967677503120616,1.0,1.056044141023449e-12,8.110374372593342e-18
12700,0.06650272630020962,4.996742413380394,1.0,1.0587086762825493e-12,8.170513061041707e-18
12800,0.06690067720717753,4.996717078983891,1.0,1.0615952561465747e-12,8.23060610119683e-18
12900,0.06729708652845132,4.996691747138197,1.0,1.064259791405675e-12,8.290653751803623e-18
13000,0.06769196091026122,4.9966664178589,1.0,1.0669243266647754e-12,8.350656270845656e-18
13100,0.06808530696597997,4.996641091161532,1.0,1.0698109065288008e-12,8.410613915543912e-18
13200,0.06847713127628433,4.996615767061573,1.0,1.0726974863928262e-12,8.470526942375118e-18
13300,0.06886744038937984,4.996590445574444,1.0,1.0754730439543891e-12,8.53039560707041e-18
13400,0.0692562408211708,4.996565126715514,1.0,1.078248601515952e-12,8.590220164634658e-18
13500,0.06964353905545956,4.996539810500096,1.0,1.0811351813799774e-12,8.650000869347746e-18
13600,0.07002934154415157,4.9965144969434485,1.0,1.0837997166390778e-12,8.709737974770352e-18
13700,0.07041365470740261,4.996489186060776,1.0,1.0867973188055657e-12,8.769431733760486e-18
13800,0.07079648493386047,4.996463877867229,1.0,1.0895728763671286e-12,8.829082398473289e-18
13900,0.07117783858078598,4.996438572377903,1.0,1.0925704785336166e-12,8.888690220376686e-18
14000,0.0715577219743165,4.99641326960784,1.0,1.0953460360951794e-12,8.948255450255332e-18
