Timestep (s),Sum Voltage (V),Carry Out Voltage (V),Sum Error Rate (Dimless),Carry Out Error Rate (Dimless),Energy Dissipation (J)
0,0.0006647121800114806,4.999979696611572,8.08242361927114e-13,1.0,4.2114370944908967e-19
100,0.0013267185231669214,4.999959393490684,8.664180484174722e-13,1.0,8.281356373581301e-19
200,0.001985963587541173,4.999939090656225,9.28368493191556e-13,1.0,1.2215365850706386e-18
300,0.0026424604850993215,4.999918788127013,9.938716516444401e-13,1.0,1.601893054329382e-18
400,0.0032962222505035768,4.9998984859217925,1.0635936575909e-12,1.0,1.9697360331291125e-18
500,0.003947261846557939,4.999878184059241,1.137645533333398e-12,1.0,2.325580104686618e-18
600,0.004595592159636438,4.99985788255796,1.2159162565694714e-12,1.0,2.6699227865335437e-18
700,0.005241226002630644,4.9998375814364815,1.2991829834163582e-12,1.0,3.003244088890006e-18
800,0.00588417611543367,4.999817280713267,1.3871126469666706e-12,1.0,3.3260062657499083e-18
900,0.006524455164381774,4.999796980406705,1.4808154702450338e-12,1.0,3.638653732918301e-18
1000,0.007162075744122804,4.9997766805351125,1.5800694086465228e-12,1.0,3.9416131288717546e-18
1100,0.0077970503783502355,4.999756381116733,1.684763439868675e-12,1.0,4.235293495907508e-18
1200,0.008429391517614852,4.999736082169742,1.7961188092385783e-12,1.0,4.520086561130869e-18
1300,0.00905911154467596,4.9997157837122375,1.91402449445377e-12,1.0,4.7963670987875274e-18
1400,0.009686222769697158,4.99969548576225,2.0385915178167124e-12,1.0,5.064493357476276e-18
1500,0.010310737433013466,4.9996751883377355,2.1708190800495686e-12,1.0,5.324807537765742e-18
1600,0.010932667706249153,4.999654891456578,2.3105961588498758e-12,1.0,5.577636307637661e-18
1700,0.011552025693072926,4.99963459513659,2.4584778657299466e-12,1.0,5.823291344822034e-18
1800,0.012168823427383879,4.99961429939551,2.614686245294706e-12,1.0,6.062069896789113e-18
1900,0.012783396335473568,4.999594004251006,2.780220498266317e-12,1.0,6.2942552684909285e-18
2000,0.013395450931199484,4.999573709720671,2.954858580039854e-12,1.0,6.5201176351211075e-18
2100,0.014004999025941278,4.999553415822029,3.1397107136399427e-12,1.0,6.739914379065523e-18
2200,0.014612052364675495,4.999533122572528,3.33466587676412e-12,1.0,6.953890729917391e-18
2300,0.015216622626605598,4.999512829989544,3.5408342924370118e-12,1.0,7.162280318328591e-18
2400,0.01581872142532775,4.999492538090383,3.7584380052635424e-12,1.0,7.36530571682568e-18
2500,0.01641836030964928,4.999472246892275,3.988143149058487e-12,1.0,7.563178882203918e-18
2600,0.017015550763710502,4.99945195641238,4.230504835334159e-12,1.0,7.756101907237988e-18
2700,0.017610304207653603,4.999431666667784,4.48607817560287e-12,1.0,7.944267275390218e-18
2800,0.018202631997925052,4.999411377675499,4.7555293036793955e-12,1.0,8.127858409451361e-18
2900,0.018792545427854124,4.999391089452467,5.039857420285898e-12,1.0,8.307050124473385e-18
3000,0.019380055727943896,4.999370802015555,5.339284570027303e-12,1.0,8.48200906129977e-18
3100,0.01996517406633058,4.999350515381559,5.655031998230697e-12,1.0,8.65289410077317e-18
3200,0.020547911549318856,4.999330229567202,5.987321749501007e-12,1.0,8.819856758767316e-18
3300,0.02112827922176839,4.9993099445891325,6.3373750691653186e-12,1.0,8.983041562421857e-18
3400,0.021706288067332012,4.999289660463928,6.7057470687359455e-12,1.0,9.14258640798822e-18
3500,0.02228194900914926,4.999269377208093,7.093658993539975e-12,1.0,9.298622900870602e-18
3600,0.022855272910110917,4.999249094838059,7.501443910484795e-12,1.0,9.451276678367019e-18
3700,0.023426270573248805,4.999228813370185,7.93065613180488e-12,1.0,9.600667715839819e-18
3800,0.02399495274221541,4.999208532820757,7.909117805127153e-12,1.0,9.746910616881838e-18
3900,0.02456133010166285,4.999188253205989,8.856138045132411e-12,1.0,9.890114888211128e-18
4000,0.025125413277649535,4.999167974542021,9.354517160886644e-12,1.0,1.0030385199948665e-17
4100,0.02568721283798145,4.999147696844923,9.878431406207255e-12,1.0,1.0167821631984252e-17
4200,0.02624673929266818,4.999127420130689,1.0428435892606558e-11,1.0,1.0302519907046601e-17
4300,0.02680400309426439,4.999107144415243,1.1006084932319027e-11,1.0,1.0434571611201758e-17
4400,0.027359014638380887,4.999086869714436,1.1612488748369287e-11,1.0,1.0564064402380728e-17
4500,0.027911784263872606,4.999066596044045,1.2248868586084427e-11,1.0,1.0691082207569494e-17
4600,0.028462322253360817,4.999046323419777,1.2916556713093996e-11,1.0,1.0815705409241645e-17
4700,0.02901063883357064,4.999026051857265,1.3616885397027545e-11,1.0,1.0938011021664486e-17
4800,0.029556744175705918,4.999005781372069,1.4351297927817086e-11,1.0,1.1058072857553336e-17
4900,0.0301006483958362,4.998985511979678,1.5121237595394632e-11,1.0,1.1175961685683948e-17
5000,0.03064236155520019,4.998965243695509,1.5928036667389733e-11,1.0,1.129174537989518e-17
5100,0.031181893660653864,4.998944976534905,1.6773693545246715e-11,1.0,1.1405489060003995e-17
5200,0.03171925466499837,4.998924710513139,1.7659429474292665e-11,1.0,1.1517255225096982e-17
5300,0.03225445446732488,4.998904445645409,1.8587131833669446e-11,1.0,1.1627103879579492e-17
5400,0.03278750291338798,4.998884181946844,1.955824391330907e-11,1.0,1.1735092652453145e-17
5500,0.03331840979595225,4.998863919432498,2.057498615926079e-11,1.0,1.184127691015838e-17
5600,0.033847184855133765,4.998843658117356,2.163869083915415e-11,1.0,1.1945709863382653e-17
5700,0.03437383777880199,4.998823398016328,2.2751800443643333e-11,1.0,1.2048442668160938e-17
5800,0.03489837820285163,4.998803139144255,2.3915980307265272e-11,1.0,1.2149524521600107e-17
5900,0.03542081571154859,4.998782881515904,2.5133339853766756e-11,1.0,1.2249002752538107e-17
6000,0.03594115983796881,4.998762625145971,2.6405988506894573e-11,1.0,1.234692290741796e-17
6100,0.03645942006421231,4.99874237004908,2.7736257735000436e-11,1.0,1.2443328831666337e-17
6200,0.03697560582176171,4.998722116239785,2.9126034917226207e-11,1.0,1.2538262746808967e-17
6300,0.03748972649188963,4.998701863732565,3.057820663343591e-11,1.0,1.2631765323591857e-17
6400,0.03800179140590136,4.998681612541832,3.209454924046895e-11,1.0,1.272387575131296e-17
6500,0.038511809845522264,4.998661362681922,3.367794931818935e-11,1.0,1.281463180360507e-17
6600,0.03901979104315953,4.9986411141671026,3.5331071401856207e-11,1.0,1.2904069900831046e-17
6700,0.03952574418228074,4.998620867011569,3.705624695982124e-11,1.0,1.2992225169328413e-17
