Timestep (s),Sum Voltage (V),Carry Out Voltage (V),Sum Error Rate (Dimless),Carry Out Error Rate (Dimless),Energy Dissipation (J)
0,0.0006647121800114806,4.999979696611581,8.08242361927114e-13,7.545075675352564e-13,1.9428730676192068e-20
100,0.0013267185231669214,4.999959393490729,8.664180484174722e-13,7.559508574672691e-13,3.8848272170001974e-20
200,0.0019859635874071176,4.999939090656363,9.284795154940184e-13,7.576161920042068e-13,5.825869816693385e-20
300,0.0026424604845015735,4.999918788127337,9.939826739469027e-13,7.593925488436071e-13,7.766006575443096e-20
400,0.0032962222506193422,4.999898485922445,1.0635936575909e-12,7.609468610780823e-13,9.705243160366744e-20
500,0.003947261846817902,4.999878184060423,1.1375345110309354e-12,7.625011733125575e-13,1.164358519538833e-19
600,0.004595592159482306,4.999857882559942,1.2159162565694714e-12,7.640554855470327e-13,1.3581038264008317e-19
700,0.00524122600263695,4.999837581439616,1.2990719611138957e-12,7.65831842386433e-13,1.5517607906955735e-19
800,0.005884176114711924,4.999817280717996,1.3873346915715956e-12,7.676081992258332e-13,1.7453299624888544e-19
900,0.006524455163836798,4.999796980413574,1.4807044479425713e-12,7.691625114603085e-13,1.9388118877446262e-19
1000,0.007162075743904736,4.999776680544783,1.5799583863440603e-12,7.707168236947837e-13,2.1322071084446337e-19
1100,0.007797050377884053,4.999756381129993,1.6848744621711376e-12,7.723821582317214e-13,2.325516162578063e-19
1200,0.00842939151803098,4.999736082187517,1.7960077869361157e-12,7.740474927686591e-13,2.5187395840999686e-19
1300,0.009059111544809678,4.999715783735606,1.9139134721513074e-12,7.756018050031344e-13,2.7118779030614456e-19
1400,0.009686222768434642,4.999695485792454,2.0388135624216375e-12,7.773781618425346e-13,2.9049316457083957e-19
1500,0.010310737430746904,4.999675188376194,2.170930102352031e-12,7.792655409843974e-13,3.097901334355835e-19
1600,0.0109326677033203,4.999654891504898,2.3103741142449508e-12,7.809308755213351e-13,3.290787487523734e-19
1700,0.011552025689327748,4.999634595196581,2.458366843427484e-12,7.822631431508853e-13,3.4835906199507227e-19
1800,0.01216882342239164,4.9996142994692,2.6147972675971687e-12,7.841505222927481e-13,3.6763112426260586e-19
1900,0.01278339633066069,4.999594004340651,2.779998453661392e-12,7.858158568296858e-13,3.8689490431131897e-19
2000,0.013395450926577086,4.999573709828771,2.9547475577373916e-12,7.87592213669086e-13,4.0615060462804945e-19
2100,0.01400499902154606,4.999553415951341,3.1397107136399427e-12,7.892575482060238e-13,4.2539820416316426e-19
2200,0.014612052360583855,4.99953312272608,3.3348879213690452e-12,7.909228827429615e-13,4.446377525181547e-19
2300,0.015216622622770043,4.999512830170652,3.5409453147394743e-12,7.926992395823618e-13,4.638692989381133e-19
2400,0.01581872142186407,4.999492538302661,3.758549027566005e-12,7.943645741192995e-13,4.83092892303885e-19
2500,0.01641836030655085,4.999472247139653,3.988143149058487e-12,7.960299086562372e-13,5.023085811493932e-19
2600,0.017015550761076,4.999451956699115,4.2303938130316965e-12,7.97695243193175e-13,5.215164136567272e-19
2700,0.01761030420552492,4.99943166699848,4.4861891979053325e-12,7.993605777301127e-13,5.407164376589031e-19
2800,0.018202631996381634,4.999411378055119,4.755640325981858e-12,8.010259122670504e-13,5.599087006443051e-19
2900,0.018792545426907246,4.999391089886348,5.039968442588361e-12,8.028022691064507e-13,5.790932497589863e-19
3000,0.019380055727638842,4.999370802509426,5.339506614632228e-12,8.046896482483135e-13,5.982701318178824e-19
3100,0.019965174066753154,4.999350515941552,5.654809953625772e-12,8.062439604827887e-13,6.174393932930716e-19
3200,0.020547911550484996,4.999330230199871,5.987210727198544e-12,8.080203173221889e-13,6.366010803250644e-19
3300,0.02112827922371233,4.99930994530147,6.3373750691653186e-12,8.095746295566641e-13,6.557552387226007e-19
3400,0.021706288070120882,4.999289661263378,6.705858091038408e-12,8.114620086985269e-13,6.749019139735973e-19
3500,0.022281949012829795,4.99926937810257,7.09343694893505e-12,8.131273432354647e-13,6.940411512348745e-19
3600,0.02285527291473057,4.99924909583596,7.501554932787258e-12,8.149037000748649e-13,7.131729953434673e-19
3700,0.023426270578860695,4.999228814480412,7.930767154107343e-12,8.166800569142652e-13,7.322974908202032e-19
3800,0.023994952748871996,4.999208534052727,7.909117805127153e-12,8.184564137536654e-13,7.514146818698526e-19
3900,0.024561330109395024,4.999188254569654,8.856249067434874e-12,8.202327705930657e-13,7.705246123743151e-19
4000,0.025125413286477674,4.999167976047887,9.354628183189106e-12,8.220091274324659e-13,7.896273259175704e-19
4100,0.025687212847945784,4.99914769850406,9.878320383904793e-12,8.235634396669411e-13,8.087228657702764e-19
4200,0.026246739303834293,4.999127421954754,1.0428324870304095e-11,8.255618411112664e-13,8.278112748939528e-19
4300,0.02680400310671727,4.999107146416495,1.1006084932319027e-11,8.273381979506667e-13,8.468925959481446e-19
4400,0.027359014652140565,4.999086871905753,1.1612377726066825e-11,8.290035324876044e-13,8.659668712951137e-19
4500,0.027911784278964378,4.999066598438941,1.2248646541479502e-11,8.306688670245421e-13,8.850341429936469e-19
4600,0.028462322269826406,4.999046326032419,1.2916556713093996e-11,8.325562461664049e-13,9.040944528139591e-19
4700,0.029010638851473217,4.99902605470249,1.3616885397027545e-11,8.344436253082677e-13,9.2314784222994e-19
4800,0.02955674419510894,4.999005784465406,1.4351408950119549e-11,8.359979375427429e-13,9.42194352421431e-19
4900,0.03010064841674851,4.99898551533736,1.512112657309217e-11,8.377742943821431e-13,9.612340242847892e-19
5000,0.030642361577686763,4.998965247334492,1.5928147689692196e-11,8.396616735240059e-13,9.802668984300223e-19
5100,0.031181893684743677,4.9989449804728885,1.6773693545246715e-11,8.415490526658687e-13,9.992930151823699e-19
5200,0.03171925469074516,4.998924714768581,1.7659540496595127e-11,8.433254095052689e-13,1.0183124145819517e-18
