Timestep (s),Sum Voltage (V),Carry Out Voltage (V),Sum Error Rate (Dimless),Carry Out Error Rate (Dimless),Energy Dissipation (J)
0,0.0006647121800114806,4.999974489512608,1.0,1.0,1.1948069713737331e-19
100,0.0013266867346971908,4.99994897906485,1.0,1.0,2.3711848841322676e-19
200,0.001985936740943278,4.999923468680774,1.0,1.0,3.529513852707378e-19
300,0.0026424752001739317,4.999897958384351,1.0,1.0,4.670166973659149e-19
400,0.003296315038788267,4.9998724481994765,1.0,1.0,5.793514602585275e-19
500,0.003947469109816578,4.999846938149967,1.0,1.0,6.899920243851933e-19
600,0.0045959501911298495,4.999821428259565,1.0,1.0,7.989741582570604e-19
700,0.005241770987660096,4.999795918551936,1.0,1.0,9.063330373584514e-19
800,0.005884944132628612,4.999770409050668,1.0,1.0,1.0121032349126532e-18
900,0.006525482186175493,4.999744899779274,1.0,1.0,1.1163187144158418e-18
1000,0.00716339763707397,4.999719390761192,1.0,1.0,1.2190128238347352e-18
1100,0.0077987029031716245,4.999693882019784,1.0,1.0,1.3202182913688404e-18
1200,0.008431410330774226,4.999668373578337,1.0,1.0,1.4199672226830416e-18
1300,0.009061532196914782,4.999642865460061,1.0,1.0,1.5182910995028584e-18
1400,0.009689080708428215,4.999617357688092,1.0,1.0,1.615220779487067e-18
1500,0.010314068003430574,4.999591850285492,1.0,1.0,1.7107864972712724e-18
1600,0.010936506150526758,4.999566343275248,1.0,1.0,1.805017866602822e-18
1700,0.011556407151229115,4.999540836680271,1.0,1.0,1.897943883463065e-18
1800,0.012173782938691436,4.9995153305233995,1.0,1.0,1.9895929301155756e-18
1900,0.012788645378581976,4.999489824827396,1.0,1.0,2.079992779971762e-18
2000,0.013400697387830396,4.999464319614951,1.0,1.0,2.169170679492044e-18
2100,0.014010243916151438,4.99943881490868,1.0,1.0,2.2571531309747256e-18
2200,0.014617296708286234,4.999413310731124,1.0,1.0,2.343966117712221e-18
2300,0.01522186744323839,4.999387807104752,1.0,1.0,2.429635040425073e-18
2400,0.015823967734351282,4.99936230405196,1.0,1.0,2.5141847251926312e-18
2500,0.01642360913014875,4.99933680159507,1.0,1.0,2.5976394318004852e-18
2600,0.017020803114583337,4.99931129975633,1.0,1.0,2.6800228624557e-18
2700,0.01761556110744936,4.999285798557916,1.0,1.0,2.761358170814609e-18
2800,0.01820789446487369,4.999260298021934,1.0,1.0,2.8416679712798138e-18
2900,0.01879781447984158,4.999234798170413,1.0,1.0,2.9209743485139047e-18
3000,0.019385332382523098,4.9992092990253125,1.0,1.0,2.999298867139495e-18
3100,0.019970459340700266,4.999183800608519,1.0,1.0,3.0766625815785843e-18
3200,0.020553206460275166,4.999158302941849,1.0,1.0,3.1530860460016754e-18
3300,0.021133584785612662,4.999132806047045,1.0,1.0,3.2285893243528414e-18
3400,0.021711605300047707,4.999107309945778,1.0,1.0,3.3031920004202074e-18
3500,0.022287278926264826,4.9990818146596485,1.0,1.0,3.3769131879278944e-18
3600,0.022860616526663748,4.999056320210186,1.0,1.0,3.4497715406220113e-18
3700,0.023431628903878007,4.999030826618848,1.0,1.0,3.5217852623315144e-18
3800,0.02400032680104939,4.999005333907023,1.0,1.0,3.592972116981291e-18
