Timestep (s),Sum Voltage (V),Carry Out Voltage (V),Sum Error Rate (Dimless),Carry Out Error Rate (Dimless),Energy Dissipation (J)
0,4.999974498039182,0.0006647303137506774,1.0,1.0,6.48557155419368e-20
100,4.999948987621187,0.0013267077489512642,1.0,1.0,1.29625500992356e-19
200,4.999923468797526,0.001985945460062466,1.0,1.0,1.9430977511695974e-19
300,4.999897941619563,0.002642456525254079,1.0,1.0,2.589089577041491e-19
400,4.9998724061385165,0.0032962539473238937,1.0,1.0,3.2342346650492353e-19
500,4.9998468624054615,0.003947350654107671,1.0,1.0,3.8785371724306645e-19
600,4.999821310471325,0.004595759499921996,1.0,1.0,4.522001236348659e-19
700,4.99979575038689,0.005241493264332613,1.0,1.0,5.164630974038297e-19
800,4.999770182202795,0.00588456465449537,1.0,1.0,5.806430482899888e-19
900,4.999744605969532,0.006524986305477765,1.0,1.0,6.447403840687732e-19
1000,4.99971902173745,0.007162770779573159,1.0,1.0,7.087555105674343e-19
1100,4.999693429556752,0.007797930566766496,1.0,1.0,7.726888316788277e-19
1200,4.999667829477497,0.008430478087112912,1.0,1.0,8.365407493669634e-19
1300,4.9996422215496015,0.0090604256897475,1.0,1.0,9.003116636954706e-19
1400,4.999616605822836,0.009687785653894991,1.0,1.0,9.640018927756232e-19
1500,4.999590982338571,0.010312570189517258,1.0,1.0,1.0276119069127133e-18
1600,4.999565351145807,0.010934791436996579,1.0,1.0,1.0911421004357197e-18
1700,4.999539712293401,0.011554461467449262,1.0,1.0,1.1545928658229912e-18
1800,4.9995140658300645,0.012171592285601706,1.0,1.0,1.2179645937084707e-18
1900,4.999488411804366,0.012786195826727593,1.0,1.0,1.2812576729084248e-18
2000,4.99946275026473,0.013398283960843978,1.0,1.0,1.3444724904166398e-18
2100,4.999437081259436,0.014007868489448357,1.0,1.0,1.4076094314399833e-18
2200,4.999411404836621,0.014614961149796464,1.0,1.0,1.4706688793870232e-18
2300,4.9993857210442805,0.01521957361132805,1.0,1.0,1.5336512159025228e-18
2400,4.999360029930264,0.015821717480182112,1.0,1.0,1.596556820867342e-18
2500,4.99933433154228,0.016421404296390586,1.0,1.0,1.659386072416526e-18
2600,4.999308625927895,0.017018645535334657,1.0,1.0,1.722139346952175e-18
2700,4.999282913134532,0.01761345260939534,1.0,1.0,1.7848170191560443e-18
2800,4.9992571932094725,0.018205836867817602,1.0,1.0,1.847419461992431e-18
2900,4.999231466199856,0.018795809594816377,1.0,1.0,1.909947046740977e-18
3000,4.99920573215268,0.019383382013794047,1.0,1.0,1.9724001429892836e-18
3100,4.999179991114802,0.019968565286182578,1.0,1.0,2.0347791186552235e-18
3200,4.999154243132937,0.020551370510174558,1.0,1.0,2.09708433999822e-18
3300,4.99912848825366,0.021131808723726834,1.0,1.0,2.1593161716284986e-18
3400,4.9991027265234065,0.0217098909036269,1.0,1.0,2.221474976523272e-18
3500,4.999076957988469,0.02228562796600126,1.0,1.0,2.283561116034779e-18
3600,4.999051182695001,0.022859030767778957,1.0,1.0,2.345574949902376e-18
3700,4.999025400689018,0.023430110104648634,1.0,1.0,2.4075168362687216e-18
3800,4.998999612016393,0.023998876713957944,1.0,1.0,2.469387131688153e-18
3900,4.998973816722861,0.0245653412746618,1.0,1.0,2.531186191135794e-18
4000,4.99894801485402,0.02512951440646257,1.0,1.0,2.5929143680255667e-18
4100,4.998922206455325,0.025691406672033703,1.0,1.0,2.6545720142142924e-18
4200,4.998896391572095,0.026251028574350136,1.0,1.0,2.716159480022553e-18
4300,4.998870570249511,0.02680839056180506,1.0,1.0,2.7776771142351155e-18
4400,4.998844742532614,0.027363503023588396,1.0,1.0,2.839125264121213e-18
4500,4.998818908466309,0.027916376293656953,1.0,1.0,2.9005042754400646e-18
4600,4.998793068095363,0.028467020650735357,1.0,1.0,2.9618144924505034e-18
4700,4.998767221464406,0.029015446315339855,1.0,1.0,3.0230562579354325e-18
4800,4.99874136861793,0.02956166345401989,1.0,1.0,3.084229913194542e-18
4900,4.998715509600291,0.03010568217899441,1.0,1.0,3.1453357980654117e-18
5000,4.998689644455708,0.030647512546996818,1.0,1.0,3.206374250932762e-18
5100,4.998663773228265,0.031187164560215273,1.0,1.0,3.2673456087447667e-18
5200,4.998637895961909,0.03172464816787481,1.0,1.0,3.3282502070076895e-18
5300,4.998612012700451,0.03225997326470299,1.0,1.0,3.389088379814221e-18
5400,4.998586123487568,0.03279314969381576,1.0,1.0,3.4498604598430353e-18
5500,4.9985602283668005,0.03332418724304372,1.0,1.0,3.510566778377359e-18
5600,4.998534327381555,0.033853095649965935,1.0,1.0,3.571207665308433e-18
5700,4.998508420575104,0.034379884598954906,1.0,1.0,3.631783449146421e-18
5800,4.998482507990584,0.03490456372259308,1.0,1.0,3.692294457036728e-18
5900,4.998456589670999,0.035427142603163396,1.0,1.0,3.7527410147672844e-18
6000,4.998430665659218,0.035947630770788795,1.0,1.0,3.813123446772407e-18
6100,4.998404735997978,0.036466037705184896,1.0,1.0,3.873442076149988e-18
6200,4.998378800729881,0.036982372834671935,1.0,1.0,3.933697224677835e-18
6300,4.998352859897399,0.03749664553875506,1.0,1.0,3.993889212808145e-18
6400,4.998326913542868,0.03800886514747955,1.0,1.0,4.054018359686391e-18
6500,4.998300961708493,0.03851904093954497,1.0,1.0,4.114084983161203e-18
6600,4.998275004436348,0.039027182146642726,1.0,1.0,4.174089399794061e-18
