Timestep (s),Sum Voltage (V),Carry Out Voltage (V),Sum Error Rate (Dimless),Carry Out Error Rate (Dimless),Energy Dissipation (J)
0,0.0006647121800114806,4.999974489512602,8.08242361927114e-13,7.547296121401814e-13,2.771440321379049e-19
100,0.0013266942148254047,4.99994897906482,8.664180484174722e-13,7.568390358869692e-13,5.50111111941598e-19
200,0.0019859560709800865,4.9999234686806835,9.28368493191556e-13,7.58948459633757e-13,8.189966883921559e-19
300,0.0026425077208683074,4.999897958384139,9.938716516444401e-13,7.609468610780823e-13,1.0838943019714535e-18
400,0.003296359136654353,4.99987244819905,1.0635936575909e-12,7.629452625224076e-13,1.3448955784622948e-18
500,0.003947520283613498,4.999846938149197,1.1375345110309354e-12,7.649436639667329e-13,1.602090230089369e-18
600,0.004596001116248405,4.999821428258277,1.2159162565694714e-12,7.671641100159832e-13,1.855566059916758e-18
700,0.005241811573096682,4.999795918549903,1.2992940057188207e-12,7.691625114603085e-13,2.105408969328873e-18
800,0.005884961570725769,4.999770409047605,1.3875567361765206e-12,7.713829575095588e-13,2.3517029683842954e-18
900,0.006525461004474751,4.999744899774834,1.4808154702450338e-12,7.732703366514215e-13,2.5945301888613237e-18
1000,0.007163319741374805,4.9997193907549535,1.5800694086465228e-12,7.754907827006718e-13,2.833970899803231e-18
1100,0.007798547616925028,4.999693882011246,1.6850965067760626e-12,7.776002064474596e-13,3.0701035253493197e-18
1200,0.008431154436424232,4.999668373566911,1.7965628984484283e-12,7.795986078917849e-13,3.3030046646502752e-18
1300,0.009061149968864745,4.999642865445066,1.9145796059660825e-12,7.817080316385727e-13,3.532749113710237e-18
1400,0.009688543948083144,4.999617357668745,2.039146629329025e-12,7.838174553853605e-13,3.7594098889230874e-18
1500,0.010313346068829854,4.9995918502609005,2.171374191561881e-12,7.860379014346108e-13,3.9830582521608926e-18
1600,0.010935565985852465,4.9995663432444015,2.311040248059726e-12,7.879252805764736e-13,4.203763737215798e-18
1700,0.011555213312593062,4.999540836642035,2.4591439995447217e-12,7.900347043232614e-13,4.421594177434832e-18
1800,0.01217229762041593,4.999515330476506,2.6155744237144063e-12,7.923661726749742e-13,4.6366157343925804e-18
1900,0.012786896387910505,4.999489824770437,2.7809976543835546e-12,7.94475596421762e-13,4.848892910462211e-18
2000,0.013398950848210677,4.9994643195463695,2.956079825366942e-12,7.965850201685498e-13,5.058488629841902e-18
2100,0.014008470440006013,4.99943881482676,3.1407099143621053e-12,7.986944439153376e-13,5.265464219004923e-18
2200,0.014615464556874878,4.9994133106339875,3.3359981443936704e-12,8.009148899645879e-13,5.469879454826258e-18
2300,0.01521994254661396,4.999387806990345,3.5420555377640994e-12,8.031353360138382e-13,5.67179259637673e-18
2400,0.015821913710081913,4.999362303918046,3.75965925059063e-12,8.054668043655511e-13,5.871260416962335e-18
2500,0.016421387299859064,4.999336801439221,3.989364394385575e-12,8.075762281123389e-13,6.068338236335688e-18
2600,0.017018372520893225,4.99931129957592,4.231615058358784e-12,8.094636072542016e-13,6.2630799529874815e-18
2700,0.017612878530639732,4.999285798350112,4.487188398627495e-12,8.116840533034519e-13,6.455538076429896e-18
2800,0.01820525697754418,4.999260297783682,4.756861571308946e-12,8.140155216551648e-13,6.6457636710164706e-18
2900,0.01879522604097778,4.999234797898436,5.041078665612986e-12,8.162359677044151e-13,6.833806638174646e-18
3000,0.019382797204390248,4.999209298716098,5.340838882261778e-12,8.183453914512029e-13,7.019715512118141e-18
3100,0.019967981893499416,4.999183800258311,5.6563642658602475e-12,8.203437928955282e-13,7.20353756573577e-18
3200,0.020550791476669057,4.999158302546635,5.9892091286428695e-12,8.227862835497035e-13,7.385318841842068e-18
3300,0.021131237265266646,4.999132805602554,6.339151426004719e-12,8.248957072964913e-13,7.565104184070008e-18
3400,0.02170933051388278,4.999107309447465,6.707745470180271e-12,8.273381979506667e-13,7.742937267362602e-18
3500,0.022285082420662572,4.999081814102689,7.095546372681838e-12,8.29558643999917e-13,7.918860628022728e-18
3600,0.022858504127708523,4.999056319589463,7.503997423441433e-12,8.317790900491673e-13,8.09291569330427e-18
3700,0.02342960672129636,4.999030825928945,7.933209644761519e-12,8.339995360984176e-13,8.26514281050701e-18
3800,0.023998401232264887,4.999005333142213,7.911893362688716e-12,8.362199821476679e-13,8.435581275562574e-18
3900,0.02456489863629307,4.998979841250263,8.859246669601362e-12,8.384404281969182e-13,8.604269361082749e-18
4000,0.025129109854255878,4.998954350274011,9.35784782996052e-12,8.406608742461685e-13,8.771244343867846e-18
4100,0.025691045752441775,4.998928860234295,9.882095142188518e-12,8.429923425978814e-13,8.93654253184796e-18
4200,0.0262507171430237,4.9989033711518704,1.0432432695495208e-11,8.453238109495942e-13,9.100199290465741e-18
4300,0.026808134784245038,4.998877883047414,1.1010414802115065e-11,8.475442569988445e-13,9.26224906847473e-18
4400,0.027363309380754357,4.998852395941522,1.1617262707375176e-11,8.495426584431698e-13,9.422725423162969e-18
4500,0.027916251583941572,4.99882690985471,1.2254197656602628e-11,8.519851490973451e-13,9.581661044993533e-18
4600,0.028466971992247375,4.998801424807416,1.2922329872822047e-11,8.54316617449058e-13,9.73908778165778e-18
4700,0.029015481151445477,4.998775940819997,1.3623324690570371e-11,8.566480858007708e-13,9.895036661557707e-18
4800,0.02956178955495347,4.998750457912732,1.4358181310569762e-11,8.588685318500211e-13,1.004953791668745e-17
4900,0.030105907644165174,4.998724976105819,1.5128898134264546e-11,8.609779555968089e-13,1.0202621004960926e-17
5000,0.030647845808705172,4.998699495419376,1.5936363340074422e-11,8.635314685534468e-13,1.0354314631952548e-17
5100,0.03118761438676871,4.998674015873444,1.678268635174618e-11,8.657519146026971e-13,1.0504646772082798e-17
5200,0.031725223665407754,4.998648537487985,1.7669532503816754e-11,8.680833829544099e-13,1.0653644689227359e-17
5300,0.032260683880818444,4.998623060282881,1.8598012019310772e-11,8.706368959110478e-13,1.0801334956799373e-17
5400,0.032794005218662034,4.9985975842779355,1.9570456366579947e-11,8.727463196578356e-13,1.0947743477270317e-17
5500,0.03332519781432263,4.998572109492873,2.0588197813253828e-11,8.751888103120109e-13,1.1092895501162008e-17
5600,0.03385427175324708,4.998546635947339,2.1653345783079203e-11,8.772982340587987e-13,1.1236815645516151e-17
5700,0.034381237071171154,4.998521163660903,2.2767787655197935e-11,8.79518680108049e-13,1.1379527911839901e-17
5800,0.03490610375447661,4.998495692653052,2.3933632853356812e-11,8.820721930646869e-13,1.1521055703562055e-17
5900,0.035428881740432204,4.9984702229432,2.515254671209277e-11,8.845146837188622e-13,1.1661421842981573e-17
6000,0.03594958091749411,4.998444754550678,2.6427304788967376e-11,8.867351297681125e-13,1.1800648587729554e-17
6100,0.036468211125588824,4.998419287494743,2.7759239351610177e-11,8.892886427247504e-13,1.1938757646770326e-17
