Timestep (s),Sum Voltage (V),Carry Out Voltage (V),Sum Error Rate (Dimless),Carry Out Error Rate (Dimless),Energy Dissipation (J)
0,4.999974498039182,0.0006647986542549664,1.0,1.0,6.485546630344154e-20
100,4.999948980785589,0.0013268441237684636,1.0,1.0,1.2962505143324385e-19
200,4.999923448280116,0.001986149562869851,1.0,1.0,1.9430917734731657e-19
300,4.999897900564056,0.0026427280508007824,1.0,1.0,2.5890526575276675e-19
400,4.999872337677835,0.003296592590826525,1.0,1.0,3.2341590905685226e-19
500,4.999846759661021,0.003947756111539243,1.0,1.0,3.878415973275744e-19
600,4.99982116655233,0.004596231465983612,1.0,1.0,4.5218269139466885e-19
700,4.999795558389627,0.005242031433931772,1.0,1.0,5.164396053943437e-19
800,4.999769935209933,0.00588516872284123,1.0,1.0,5.806127514606202e-19
900,4.999744297049434,0.006525655965427193,1.0,1.0,6.447025397466378e-19
1000,4.999718643943479,0.007163505723330264,1.0,1.0,7.087093784318186e-19
1100,4.999692975926591,0.00779873048655204,1.0,1.0,7.726336737387534e-19
1200,4.99966729303247,0.008431342672739548,1.0,1.0,8.364758299512673e-19
1300,4.999641595293997,0.009061354629587832,1.0,1.0,9.002362494236012e-19
1400,4.99961588274324,0.009688778634110549,1.0,1.0,9.639153325968537e-19
1500,4.999590155411458,0.010313626893218445,1.0,1.0,1.0275134780137724e-18
1600,4.999564413329108,0.010935911545134031,1.0,1.0,1.0910310823303257e-18
1700,4.999538656525847,0.011555644659517899,1.0,1.0,1.1544685403297568e-18
1800,4.999512885030539,0.012172838235988682,1.0,1.0,1.2178262449412375e-18
1900,4.999487098871256,0.012787504208018037,1.0,1.0,1.281104587245405e-18
2000,4.999461298075289,0.013399654441300608,1.0,1.0,1.344303956493201e-18
2100,4.999435482669146,0.014009300734594242,1.0,1.0,1.4074247401175904e-18
2200,4.999409652678558,0.01461645481966834,1.0,1.0,1.4704673237481025e-18
2300,4.999383808128489,0.015221128362496977,1.0,1.0,1.5334320912235105e-18
2400,4.999357949043132,0.015823332964266322,1.0,1.0,1.5963194246022646e-18
2500,4.999332075445919,0.016423080158961215,1.0,1.0,1.6591297041831347e-18
2600,4.999306187359522,0.017020381419301924,1.0,1.0,1.721863308503709e-18
2700,4.999280284805863,0.01761524815119222,1.0,1.0,1.7845206143688045e-18
2800,4.999254367806109,0.018207691697151564,1.0,1.0,1.8471019968555763e-18
2900,4.999228436380684,0.018797723337175113,1.0,1.0,1.909607829325789e-18
3000,4.99920249054927,0.019385354287850882,1.0,1.0,1.9720384834399165e-18
3100,4.999176530330811,0.01997059570439137,1.0,1.0,2.0343943291677765e-18
3200,4.999150555743517,0.020553458678117788,1.0,1.0,2.096675734806564e-18
3300,4.99912456680487,0.0211339542404513,1.0,1.0,2.158883066984277e-18
3400,4.999098563531623,0.021712093360878836,1.0,1.0,2.2210166906788215e-18
3500,4.999072545939811,0.022287886948205604,1.0,1.0,2.2830769692269905e-18
3600,4.999046514044748,0.022861345850263275,1.0,1.0,2.345064264339681e-18
3700,4.999020467861035,0.023432480856504068,1.0,1.0,2.4069789361066064e-18
3800,4.998994407402562,0.024001302695671575,1.0,1.0,2.4688213430167563e-18
3900,4.998968332682511,0.024567822038754253,1.0,1.0,2.530591841962692e-18
4000,4.998942243713364,0.025132049495908814,1.0,1.0,2.59229078826019e-18
4100,4.998916140506899,0.025693995620313017,1.0,1.0,2.653918535652911e-18
4200,4.9988900230742015,0.026253670907418106,1.0,1.0,2.715475436326463e-18
4300,4.998863891425662,0.026811085794922657,1.0,1.0,2.77696184091959e-18
4400,4.998837745570984,0.027366250662970968,1.0,1.0,2.8383780985367237e-18
4500,4.998811585519182,0.027919175835375707,1.0,1.0,2.899724556758589e-18
4600,4.998785411278592,0.028469871578900637,1.0,1.0,2.961001561652801e-18
4700,4.998759222856869,0.029018348105517514,1.0,1.0,3.0222094577845046e-18
4800,4.998733020260992,0.029564615570974784,1.0,1.0,3.083348588228255e-18
4900,4.998706803497268,0.03010868407567058,1.0,1.0,3.144419294580793e-18
5000,4.9986805725713355,0.030650563664953376,1.0,1.0,3.205421916969153e-18
5100,4.998654327488166,0.031190264330030713,1.0,1.0,3.266356794062279e-18
5200,4.998628068252068,0.03172779600814651,1.0,1.0,3.3272242630832678e-18
5300,4.998601794866691,0.03226316858204185,1.0,1.0,3.3880246598189823e-18
5400,4.998575507335029,0.03279639188104128,1.0,1.0,3.4487583186309377e-18
5500,4.998549205659419,0.03332747568265583,1.0,1.0,3.5094255724634984e-18
5600,4.99852288984155,0.03385642970991904,1.0,1.0,3.570026752860272e-18
5700,4.998496559882462,0.034383263635515846,1.0,1.0,3.630562189967021e-18
5800,4.998470215782551,0.034907987077506274,1.0,1.0,3.691032212551834e-18
5900,4.99844385754157,0.03543060960445434,1.0,1.0,3.7514371480035805e-18
6000,4.998417485158635,0.03595114073305438,1.0,1.0,3.811777322350573e-18
6100,4.998391098632222,0.036469589928081234,1.0,1.0,3.8720530602710565e-18
6200,4.998364697960178,0.03698596660460758,1.0,1.0,3.932264685097523e-18
6300,4.998338283139716,0.037500280127233145,1.0,1.0,3.9924125188305425e-18
6400,4.998311854167421,0.03801253980961007,1.0,1.0,4.052496882151565e-18
6500,4.998285411039255,0.038522754916199664,1.0,1.0,4.112518094428075e-18
6600,4.998258953750555,0.03903093466331333,1.0,1.0,4.172476473723046e-18
6700,4.998232482296038,0.03953708821643215,1.0,1.0,4.232372336810646e-18
6800,4.998205996669803,0.04004122469294413,1.0,1.0,4.292205999180509e-18
6900,4.998179496865337,0.040543353162218056,1.0,1.0,4.3519777750497304e-18
7000,4.99815298287551,0.04104348264539988,1.0,1.0,4.41168797737272e-18
7100,4.998126454692585,0.041541622115858524,1.0,1.0,4.471336917849893e-18
7200,4.9980999123082155,0.042037780498465786,1.0,1.0,4.530924906940725e-18
7300,4.9980733557134505,0.042531966671935664,1.0,1.0,4.590452253867859e-18
7400,4.998046784898735,0.04302418946780833,1.0,1.0,4.649919266629882e-18
7500,4.998020199853914,0.04351445767141967,1.0,1.0,4.709326252010595e-18
7600,4.997993600568236,0.044002780020887255,1.0,1.0,4.768673515589261e-18
7700,4.99796698703035,0.04448916520942121,1.0,1.0,4.827961361747412e-18
7800,4.997940359228313,0.04497362188383695,1.0,1.0,4.887190093680051e-18
7900,4.99791371714959,0.04545615864575912,1.0,1.0,4.946360013405029e-18
8000,4.997887060781057,0.04593678405219954,1.0,1.0,5.005471421770511e-18
8100,4.997860390109003,0.046415506614453296,1.0,1.0,5.064524618467623e-18
8200,4.99783370511913,0.04689233479975668,1.0,1.0,5.123519902036477e-18
8300,4.997807005796559,0.04736727703138923,1.0,1.0,5.182457569874917e-18
8400,4.997780292125827,0.04784034168759057,1.0,1.0,5.241337918253146e-18
8500,4.997753564090895,0.048311537103906455,1.0,1.0,5.300161242315162e-18
8600,4.997726821675146,0.048780871571802886,1.0,1.0,5.3589278360927116e-18
8700,4.997700064861387,0.04924835333998544,1.0,1.0,5.41763799251161e-18
8800,4.997673293631854,0.04971399061508324,1.0,1.0,5.476292003401964e-18
8900,4.9976465079682075,0.050177791559653136,1.0,1.0,5.534890159507771e-18
9000,4.997619707851544,0.05063976429489806,1.0,1.0,5.593432750494955e-18
9100,4.9975928932623885,0.051099916898636286,1.0,1.0,5.651920064961297e-18
9200,4.997566064180702,0.05155825740835125,1.0,1.0,5.7103523904421525e-18
9300,4.997539220585881,0.052014793819998996,1.0,1.0,5.768730013420335e-18
9400,4.997512362456761,0.052469534086608344,1.0,1.0,5.8270532193394585e-18
9500,4.997485489771615,0.05292248612187374,1.0,1.0,5.885322292605069e-18
9600,4.997458602508161,0.05337365779792683,1.0,1.0,5.943537516599095e-18
9700,4.997431700643556,0.05382305694637305,1.0,1.0,6.001699173685724e-18
9800,4.997404784154405,0.054270691359499586,1.0,1.0,6.0598075452190256e-18
9900,4.997377853016756,0.054716568787991485,1.0,1.0,6.1178629115563735e-18
10000,4.997350907206108,0.0551606969433543,1.0,1.0,6.175865552062788e-18
10100,4.997323946697409,0.055603083498487485,1.0,1.0,6.233815745118186e-18
10200,4.997296971465057,0.05604373608502918,1.0,1.0,6.291713768131802e-18
10300,4.997269981482904,0.05648266229780174,1.0,1.0,6.349559897542487e-18
10400,4.997242976724254,0.05691986969172289,1.0,1.0,6.407354408833835e-18
10500,4.99721595716187,0.05735536578253,1.0,1.0,6.465097576541864e-18
10600,4.99718892276797,0.05778915804895629,1.0,1.0,6.522789674258317e-18
10700,4.99716187351423,0.058221253930932006,1.0,1.0,6.580430974644518e-18
10800,4.997134809371788,0.058651660830175485,1.0,1.0,6.638021749437652e-18
10900,4.997107730311242,0.059080386111790666,1.0,1.0,6.695562269457428e-18
11000,4.9970806363026545,0.05950743710209139,1.0,1.0,6.75305280461978e-18
11100,4.99705352731555,0.05993282109146963,1.0,1.0,6.810493623936784e-18
11200,4.997026403318919,0.06035654533344299,1.0,1.0,6.867884995530061e-18
11300,4.99699926428122,0.06077861704340485,1.0,1.0,6.925227186641704e-18
11400,4.996972110170378,0.06119904340072147,1.0,1.0,6.982520463637427e-18
11500,4.99694494095379,0.06161783154991887,1.0,1.0,7.039765092013397e-18
11600,4.99691775659832,0.06203498859779303,1.0,1.0,7.096961336411362e-18
11700,4.996890557070306,0.062450521616247236,1.0,1.0,7.15410946062105e-18
11800,4.996863342335558,0.06286443764086676,1.0,1.0,7.211209727591935e-18
11900,4.996836112359362,0.06327674367229738,1.0,1.0,7.268262399437621e-18
12000,4.996808867106477,0.06368744667613953,1.0,1.0,7.325267737445382e-18
12100,4.9967816065411395,0.06409655358250581,1.0,1.0,7.382226002086198e-18
12200,4.996754330627063,0.06450407128609967,1.0,1.0,7.43913745302333e-18
12300,4.99672703932744,0.06491000664867727,1.0,1.0,7.496002349115558e-18
12400,4.996699732604943,0.06531436649729033,1.0,1.0,7.552820948427346e-18
12500,4.996672410421726,0.06571715762376777,1.0,1.0,7.609593508240057e-18
12600,4.9966450727394225,0.06611838678647136,1.0,1.0,7.66632028505822e-18
12700,4.996617719519151,0.06651806071024643,1.0,1.0,7.72300153461535e-18
12800,4.996590350721511,0.06691618608594808,1.0,1.0,7.779637511884716e-18
12900,4.996562966306589,0.06731276957208822,1.0,1.0,7.836228471084703e-18
13000,4.996535566233958,0.06770781779345911,1.0,1.0,7.892774665689805e-18
13100,4.996508150462676,0.06810133734076562,1.0,1.0,7.949276348438351e-18
13200,4.996480718951287,0.0684933347732156,1.0,1.0,8.005733771338244e-18
