Timestep (s),Sum Voltage (V),Carry Out Voltage (V),Sum Error Rate (Dimless),Carry Out Error Rate (Dimless),Energy Dissipation (J)
0,0.25353161157958565,0.2001770589846489,1.0,1.1169185549331218e-05,1055292.7707815703
100,0.25351121069054855,0.2001775099363537,1.0,1.1169502888042082e-05,2110579.6280161217
200,0.25349082100402753,0.20017796074001065,1.0,1.1169820131051722e-05,3165860.577254436
300,0.25347044250885914,0.20017841139557804,1.0,1.117013727847116e-05,4221135.624032162
400,0.253450075193986,0.20017886190368672,1.0,1.1170454330744484e-05,5276404.773869864
500,0.25342971904845646,0.20017931226365285,1.0,1.1170771287205561e-05,6331668.032273092
600,0.25340937406142455,0.20017976247535074,1.0,1.1171088148187458e-05,7386925.404732412
700,0.25338904022214936,0.20018021253956444,1.0,1.1171404913690175e-05,8442176.896723479
800,0.2533687175199952,0.20018066245614882,1.0,1.117172158360269e-05,9497422.513707072
900,0.2533484059444309,0.2001811122251184,1.0,1.1172038158480113e-05,10552662.261129143
1000,0.2533281054850301,0.20018156184641095,1.0,1.1172354637767334e-05,11607896.144420894
1100,0.25330781613147035,0.20018201132035704,1.0,1.1172671022019465e-05,12663124.16899879
1200,0.2532875378735335,0.20018246064724804,1.0,1.1172987311347526e-05,13718346.34026465
1300,0.25326727070110494,0.20018290982648831,1.0,1.1173303505085386e-05,14773562.66348955
1400,0.2532470146042763,0.20018335885857455,1.0,1.1173619603677132e-05,15828773.143811977
1500,0.2532267695735507,0.20018380774288472,1.0,1.1173935606678675e-05,16883977.786588725
1600,0.2532065355998395,0.20018425648020768,1.0,1.117425151520024e-05,17939176.597162124
1700,0.2531863126744591,0.20018470507096575,1.0,1.1174567328686713e-05,18994369.580860045
1800,0.2531661007891279,0.2001851535143671,1.0,1.1174883046805029e-05,20049556.742995966
1900,0.2531458999359628,0.20018560181082826,1.0,1.1175198669999276e-05,21104738.088869024
2000,0.2531257101074768,0.20018604996030376,1.0,1.1175514198380476e-05,22159913.62376408
2100,0.2531055312965752,0.20018649796321664,1.0,1.1175829632059653e-05,23215083.352951743
2200,0.253085363496553,0.2001869458193117,1.0,1.1176144970592716e-05,24270247.281688455
2300,0.2530652067010917,0.20018739352860684,1.0,1.1176460214312733e-05,25325405.415216506
2400,0.25304506090425644,0.2001878410914425,1.0,1.1176775363663793e-05,26380557.758764107
2500,0.25302492610049293,0.2001882885078145,1.0,1.1177090418090785e-05,27435704.31754543
2600,0.2530048022846246,0.2001887357780029,1.0,1.1177405377926775e-05,28490845.096760653
2700,0.25298468945184965,0.20018918290221394,1.0,1.1177720243615852e-05,29545980.10159603
2800,0.2529645875977382,0.20018962987972932,1.0,1.1178035014158816e-05,30601109.33722392
2900,0.25294449671822944,0.20019007671147085,1.0,1.117834969066589e-05,31656232.808802847
3000,0.25292441680962874,0.20019052339694662,1.0,1.1178664272692984e-05,32711350.521477547
3100,0.252904347868605,0.20019096993662872,1.0,1.11789787602401e-05,33766462.480379
3200,0.2528842898921877,0.20019141633034523,1.0,1.1179293153640302e-05,34821568.690624505
3300,0.2528642428777642,0.20019186257836677,1.0,1.1179607452671547e-05,35876669.157317735
3400,0.2528442068230772,0.20019230868064428,1.0,1.1179921657666902e-05,36931763.88554874
3500,0.2528241817262217,0.20019275463720185,1.0,1.1180235768182278e-05,37986852.880394034
3600,0.2528041675856426,0.20019320044809377,1.0,1.118054978443972e-05,39041936.14691664
3700,0.2527841644001321,0.20019364611400312,1.0,1.1180863707216382e-05,40097013.690166116
3800,0.25276417216882685,0.2001940916347678,1.0,1.1181177535957154e-05,41152085.51517862
3900,0.25274419089120537,0.2001945370099118,1.0,1.1181491270439992e-05,42207151.62697697
4000,0.2527242205670855,0.20019498224015947,1.0,1.118180491144205e-05,43262212.03057064
4100,0.2527042611966221,0.20019542732540904,1.0,1.1182118458741286e-05,44317266.73095588
4200,0.2526843127803042,0.20019587226579175,1.0,1.1182431912226676e-05,45372315.733115695
4300,0.2526643753189526,0.20019631706144905,1.0,1.1182745272120265e-05,46427359.04201994
4400,0.25264444881371745,0.20019676171235068,1.0,1.118305853831103e-05,47482396.66262535
4500,0.2526245332660756,0.20019720621861353,1.0,1.1183371711021017e-05,48537428.59987557
4600,0.25260462867782835,0.20019765058055158,1.0,1.1183684790250226e-05,49592454.85870123
4700,0.2525847350510991,0.20019809479796752,1.0,1.1183997776109678e-05,50647475.44401997
4800,0.25256485238833054,0.2001985388706669,1.0,1.1184310668377329e-05,51702490.36073648
4900,0.25254498069228287,0.2001989827990585,1.0,1.1184623467164201e-05,52757499.61374259
5000,0.25252511996603094,0.20019942658407755,1.0,1.1184936173358473e-05,53812503.20791726
5100,0.2525052702129621,0.20019987022449562,1.0,1.1185248785960944e-05,54867501.14812665
5200,0.25248543143677404,0.20020031372138392,1.0,1.1185561305859792e-05,55922493.43922417
5300,0.25246560364147225,0.2002007570739861,1.0,1.1185873732277862e-05,56977480.086050525
5400,0.25244578683136787,0.20020120028345803,1.0,1.1186186066103332e-05,58032461.093433745
5500,0.2524259810110755,0.2002016433494243,1.0,1.1186498307114157e-05,59087436.46618925
5600,0.25240618618551086,0.20020208627222363,1.0,1.1186810455310336e-05,60142406.209119864
5700,0.2523864023598887,0.20020252905132804,1.0,1.1187122510913916e-05,61197370.327015914
5800,0.25236662953972044,0.2002029716871117,1.0,1.1187434473480806e-05,62252328.8246552
5900,0.2523468677308122,0.200203414180145,1.0,1.1187746343788163e-05,63307281.7068031
6000,0.2523271169392624,0.2002038565299646,1.0,1.1188058121613942e-05,64362228.97821259
6100,0.25230737717145996,0.20020429873761866,1.0,1.1188369807402232e-05,65417170.64362428
6200,0.2522876484340819,0.200204740801708,1.0,1.118868140004281e-05,66472106.7077665
6300,0.25226793073409143,0.20020518272416082,1.0,1.1188992901423056e-05,67527037.17535527
6400,0.25224822407873587,0.20020562450317791,1.0,1.1189304309988657e-05,68581962.05109441
6500,0.25222852847554433,0.20020606614037956,1.0,1.1189615626627791e-05,69636881.33967555
6600,0.25220884393232607,0.2002065076352007,1.0,1.1189926851118415e-05,70691795.04577817
6700,0.2521891704571682,0.20020694898777097,1.0,1.119023798357155e-05,71746703.17406969
6800,0.25216950805843386,0.20020739019881276,1.0,1.1190549024653329e-05,72801605.72920543
6900,0.25214985674476004,0.20020783126757455,1.0,1.1190859973475575e-05,73856502.71582872
7000,0.25213021652505585,0.2002082721947078,1.0,1.11911708305934e-05,74911394.13857092
7100,0.2521105874085003,0.200208712979857,1.0,1.1191481596006803e-05,75966280.00205147
7200,0.2520909694045407,0.20020915362367922,1.0,1.1191792269937828e-05,77021160.31087793
7300,0.2520713625228905,0.20020959412592632,1.0,1.1192102852275454e-05,78076035.069646
7400,0.2520517667735274,0.20021003448724223,1.0,1.1192413343574792e-05,79130904.28293958
7500,0.25203218216669176,0.20021047470748318,1.0,1.1192723743169708e-05,80185767.95533082
7600,0.2520126087128843,0.2002109147865836,1.0,1.119303405194838e-05,81240626.09138013
7700,0.2519930464228645,0.20021135472474988,1.0,1.1193344269244676e-05,82295478.69563627
7800,0.25197349530764895,0.20021179452197996,1.0,1.1193654395391661e-05,83350325.77263637
7900,0.2519539553785091,0.2002122341788252,1.0,1.1193964430833425e-05,84405167.32690595
8000,0.25193442664696986,0.20021267369562387,1.0,1.1194274375792013e-05,85460003.36295897
8100,0.25191490912480763,0.20021311307184733,1.0,1.1194584229490268e-05,86514833.88529788
8200,0.2518954028240486,0.20021355230803436,1.0,1.1194893992483301e-05,87569658.89841367
8300,0.25187590775696694,0.20021399140428217,1.0,1.1195203665326225e-05,88624478.4067859
8400,0.2518564239360831,0.20021443036057002,1.0,1.1195513247241884e-05,89679292.41488272
8500,0.2518369513741622,0.20021486917702827,1.0,1.119582273889641e-05,90734100.92716093
8600,0.25181749008421206,0.2002153078536555,1.0,1.1196132140178783e-05,91788903.94806604
8700,0.25179804007948187,0.20021574639099612,1.0,1.1196441450977979e-05,92843701.48203227
8800,0.25177860137346025,0.2002161847888453,1.0,1.1196750672071154e-05,93898493.53348261
8900,0.2517591739798737,0.20021662304707583,1.0,1.119705980257013e-05,94953280.10682885
9000,0.2517397579126849,0.20021706116637925,1.0,1.1197368842807975e-05,96008061.20647167
9100,0.25172035318609115,0.20021749914692266,1.0,1.1197677793783889e-05,97062836.83680058
9200,0.25170095981452273,0.2002179369882482,1.0,1.1197986654609693e-05,98117607.00219405
9300,0.25168157781264133,0.20021837469126735,1.0,1.1198295425618454e-05,99172371.70701951
9400,0.25166220719533844,0.20021881225585367,1.0,1.1198604107365284e-05,100227130.95563337
9500,0.2516428479777337,0.20021924968159432,1.0,1.119891269918405e-05,101281884.7523811
9600,0.25162350017517343,0.20021968696962983,1.0,1.1199221201851906e-05,102336633.10159728
9700,0.25160416380322925,0.20022012411949733,1.0,1.119952961525783e-05,103391376.00760557
9800,0.25158483887769617,0.20022056113139303,1.0,1.1199837939401824e-05,104446113.4747188
9900,0.25156552541459143,0.2002209980053807,1.0,1.1200146174172865e-05,105500845.50723897
10000,0.25154622343015287,0.20022143474128792,1.0,1.1200454319904019e-05,106555572.10945737
10100,0.2515269329408373,0.200221871340003,1.0,1.1200762376595286e-05,107610293.28565452
10200,0.25150765396331926,0.20022230780113087,1.0,1.1201070344468711e-05,108665009.04010026
10300,0.25148838651448946,0.2002227441255472,1.0,1.1201378223746339e-05,109719719.37705378
10400,0.25146913061145326,0.20022318031246916,1.0,1.1201686014095102e-05,110774424.30076365
10500,0.25144988627152937,0.20022361636276167,1.0,1.1201993716181136e-05,111829123.81546788
10600,0.2514306535122483,0.2002240522765103,1.0,1.120230133011546e-05,112883817.92539391
10700,0.25141143235135105,0.20022448805318216,1.0,1.1202608854898877e-05,113938506.63475871
10800,0.25139222280678764,0.20022492369344985,1.0,1.1202916291863652e-05,114993189.94776876
10900,0.2513730248967157,0.20022535919717804,1.0,1.1203223640121607e-05,116047867.86862011
11000,0.2513538386394993,0.20022579456480524,1.0,1.1203530900671943e-05,117102540.40149844
11100,0.25133466405370725,0.20022622979639376,1.0,1.1203838073181593e-05,118157207.55057904
11200,0.25131550115811213,0.2002266648919691,1.0,1.1204145157650558e-05,119211869.32002692
11300,0.25129634997168854,0.2002270998518577,1.0,1.1204452154411904e-05,120266525.71399678
11400,0.2512772105136121,0.20022753467621737,1.0,1.120475906346563e-05,121321176.73663308
11500,0.2512580828032582,0.20022796936487475,1.0,1.1205065884811738e-05,122375822.39207006
11600,0.25123896686020014,0.2002284039183013,1.0,1.1205372618450227e-05,123430462.6844318
11700,0.2512198627042086,0.20022883833683172,1.0,1.120567926504723e-05,124485097.61783226
11800,0.25120077035524974,0.20022927262048396,1.0,1.1205985824491727e-05,125539727.19637524
11900,0.2511816898334842,0.20022970676932508,1.0,1.120629229656167e-05,126594351.42415452
12000,0.251162621159266,0.20023014078325194,1.0,1.1206598681701152e-05,127648970.30525385
12100,0.25114356435314095,0.2002305746626221,1.0,1.1206904979355059e-05,128703583.84374695
12200,0.2511245194358456,0.20023100840745706,1.0,1.1207211190189525e-05,129758192.0436976
12300,0.2511054864283059,0.20023144201816354,1.0,1.1207517314426596e-05,130812794.90915965
12400,0.2510864653516362,0.20023187549506513,1.0,1.1207823352177293e-05,131867392.44417706
12500,0.2510674562271379,0.20023230883792312,1.0,1.1208129302997527e-05,132921984.65278395
12600,0.2510484590762983,0.20023274204726044,1.0,1.1208435167553432e-05,133976571.53900458
12700,0.2510294739207893,0.20023317512256444,1.0,1.1208740945733986e-05,135031153.10685346
12800,0.2510105007824664,0.20023360806480936,1.0,1.1209046637539188e-05,136085729.36033532
12900,0.2509915396833674,0.20023404087379804,1.0,1.1209352243302106e-05,137140300.3034452
13000,0.25097259064571137,0.20023447354943863,1.0,1.1209657762800695e-05,138194865.9401684
13100,0.25095365369189737,0.2002349060927434,1.0,1.1209963196812112e-05,139249426.27448067
13200,0.2509347288445035,0.20023533850320713,1.0,1.121026854511431e-05,140303981.31034806
13300,0.2509158161262855,0.2002357707806221,1.0,1.1210573807041158e-05,141358531.0517271
13400,0.250896915560176,0.20023620292597513,1.0,1.1210878983702877e-05,142413075.5025647
13500,0.2508780271692832,0.20023663493889787,1.0,1.1211184074877423e-05,143467614.66679832
13600,0.25085915097688966,0.20023706681995934,1.0,1.121148908078684e-05,144522148.54835588
13700,0.25084028700645145,0.20023749856910197,1.0,1.1211794001320108e-05,145576677.15115592
13800,0.25082143528159695,0.20023793018619082,1.0,1.1212098836699269e-05,146631200.4791075
13900,0.2508025958261258,0.20023836167149264,1.0,1.1212403586813302e-05,147685718.53611037
14000,0.25078376866400803,0.20023879302528935,1.0,1.1212708251551184e-05,148740231.3260549
