Timestep (s),Sum Voltage (V),Carry Out Voltage (V),Sum Error Rate (Dimless),Carry Out Error Rate (Dimless),Energy Dissipation (J)
0,0.30277689356352316,4.722394628422343,1.0,1.0,918079.152791038
100,0.30271477021911364,4.722468482789914,1.0,1.0,1854143.134477728
200,0.3026534667464486,4.72254230834976,1.0,1.0,2808520.2824685466
300,0.3025929848787505,4.722616105113835,1.0,1.0,3781527.244074486
400,0.30253332635003366,4.722689873093833,1.0,1.0,4773469.118255767
500,0.3024744928951158,4.722763612301188,1.0,1.0,5784639.6319951955
600,0.3024164862496303,4.722837322747091,1.0,1.0,6815321.345319793
700,0.3023593081500374,4.722911004442487,1.0,1.0,7865785.879594033
800,0.30230296033363585,4.722984657398091,1.0,1.0,8936294.164259786
900,0.3022474445385738,4.723058281624384,1.0,1.0,10027096.697748551
1000,0.30219276250385996,4.723131877131625,1.0,1.0,11138433.818819825
1100,0.3021389159693745,4.723205443929852,1.0,1.0,12270535.985042294
1200,0.3020859066758791,4.723278982028891,1.0,1.0,13423624.055596918
1300,0.30203373636502784,4.7233524914383525,1.0,1.0,14597909.575988125
1400,0.30198240677937704,4.723425972167644,1.0,1.0,15793595.062589046
1500,0.30193191966239513,4.723499424225967,1.0,1.0,17010874.285315946
1600,0.3018822767584725,4.723572847622323,1.0,1.0,18249932.546984807
1700,0.3018334798129308,4.723646242365519,1.0,1.0,19510946.958176922
1800,0.30178553057203206,4.723719608464165,1.0,1.0,20794086.706660762
1900,0.30173843078298807,4.7237929459266805,1.0,1.0,22099513.320615403
2000,0.30169218219396876,4.723866254761297,1.0,1.0,23427380.925072245
2100,0.3016467865541108,4.723939534976057,1.0,1.0,24777836.491133872
2200,0.30160224561352594,4.724012786578822,1.0,1.0,26151020.077661265
2300,0.30155856112330887,4.72408600957727,1.0,1.0,27547065.065212104
2400,0.30151573483554506,4.7241592039789,1.0,1.0,28966098.382129107
2500,0.30147376850331825,4.7242323697910305,1.0,1.0,30408240.722719643
2600,0.3014326638807177,4.724305507020807,1.0,1.0,31873606.75755896
2700,0.30139242272284494,4.724378615675199,1.0,1.0,33362305.335983302
2800,0.30135304678582064,4.724451695761003,1.0,1.0,34874439.68088745
2900,0.3013145378267909,4.724524747284844,1.0,1.0,36410107.57597434
3000,0.30127689760393345,4.72459777025318,1.0,1.0,37969401.54563203
3100,0.30124012787646326,4.724670764672297,1.0,1.0,39552409.02762779
3200,0.3012042304046381,4.724743730548316,1.0,1.0,41159212.538836755
3300,0.30116920694976385,4.724816667887194,1.0,1.0,42789889.834216416
3400,0.30113505927419915,4.724889576694721,1.0,1.0,44444514.05926647
3500,0.3011017891413601,4.724962456976527,1.0,1.0,46123153.89619689
3600,0.3010693983157244,4.725035308738078,1.0,1.0,47825873.704043254
3700,0.3010378885628353,4.725108131984679,1.0,1.0,49552733.652961895
3800,0.3010072616493051,4.725180926721477,1.0,1.0,51303789.85294216
3900,0.3009775193428182,4.725253692953462,1.0,1.0,53079094.4771604
4000,0.30094866341213405,4.725326430685463,1.0,1.0,54878695.880199544
4100,0.30092069562708956,4.725399139922156,1.0,1.0,56702638.7113597
4200,0.3008936177586012,4.72547182066806,1.0,1.0,58550964.02326692
4300,0.3008674315786665,4.725544472927541,1.0,1.0,60423709.375992686
4400,0.3008421388603657,4.72561709670481,1.0,1.0,62320908.936879806
4500,0.30081774137786205,4.725689692003927,1.0,1.0,64242593.57627465
4600,0.3007942409064026,4.7257622588288,1.0,1.0,66188790.95934262
4700,0.3007716392223184,4.725834797183185,1.0,1.0,68159525.63415737
4800,0.30074993810302375,4.725907307070692,1.0,1.0,70154819.11622569
4900,0.3007291393270152,4.725979788494778,1.0,1.0,72174689.96962167
5000,0.30070924467387083,4.7260522414587545,1.0,1.0,74219153.8848786
5100,0.3006902559242476,4.726124665965785,1.0,1.0,76288223.75379804
5200,0.30067217485987974,4.726197062018887,1.0,1.0,78381909.74131505
5300,0.3006550032635755,4.726269429620932,1.0,1.0,80500219.35456191
5400,0.3006387429192141,4.726341768774647,1.0,1.0,82643157.50925606
