Timestep (s),Sum Voltage (V),Carry Out Voltage (V),Sum Error Rate (Dimless),Carry Out Error Rate (Dimless),Energy Dissipation (J)
0,0.00018585113844837308,12.499999820454702,-1.0080825063596421e-13,-1.0236256287043943e-13,2.6122220290417725e-16
50000,0.00036273586723743745,12.499999640908452,-1.0014211682118912e-13,-1.0236256287043943e-13,2.637031054083153e-16
100000,0.0005369841569136336,12.499999461361025,-9.9253938401489e-14,-1.0236256287043943e-13,2.6615258772683535e-16
150000,0.0007092010079253423,12.499999281812086,-9.85878045867139e-14,-1.021405182655144e-13,2.685719414031942e-16
200000,0.0008803861175161671,12.499999102261201,-9.792167077193881e-14,-1.021405182655144e-13,2.709623844741136e-16
250000,0.0010514504030672766,12.499998922707842,-9.725553695716371e-14,-1.021405182655144e-13,2.733250662999981e-16
300000,0.0012232315858021064,12.499998743151387,-9.681144774731365e-14,-1.0236256287043943e-13,2.756610720435937e-16
350000,0.0013965073012908772,12.499998563591124,-9.592326932761353e-14,-1.0236256287043943e-13,2.779714268311421e-16
400000,0.00157200619240532,12.499998384026247,-9.525713551283843e-14,-1.021405182655144e-13,2.802570996213677e-16
450000,0.001750417351258061,12.499998204455864,-9.459100169806334e-14,-1.0236256287043943e-13,2.825190068053697e-16
500000,0.0019323984062627963,12.499998024878993,-9.392486788328824e-14,-1.021405182655144e-13,2.847580155590146e-16
550000,0.0021185824945785686,12.49999784529456,-9.303668946358812e-14,-1.021405182655144e-13,2.8697494696783937e-16
600000,0.0023095843156969572,12.499997665701402,-9.259260025373806e-14,-1.021405182655144e-13,2.8917057894130603e-16
650000,0.0025060054263219074,12.499997486098263,-9.170442183403793e-14,-1.021405182655144e-13,2.9134564893373466e-16
700000,0.002708438908112207,12.499997306483788,-9.08162434143378e-14,-1.0191847366058937e-13,2.935008564868998e-16
750000,0.0029174735167986666,12.499997126856528,-9.015010959956271e-14,-1.021405182655144e-13,2.9563686560731885e-16
800000,0.0031336974025696967,12.499996947214932,-8.926193117986259e-14,-1.0191847366058937e-13,2.9775430699215346e-16
850000,0.0033577014764769914,12.499996767557345,-8.837375276016246e-14,-1.0236256287043943e-13,2.9985378011434607e-16
900000,0.0035900824853034776,12.499996587882007,-8.770761894538737e-14,-1.0236256287043943e-13,3.0193585517834443e-16
950000,0.003831445847268329,12.499996408187044,-8.681944052568724e-14,-1.0236256287043943e-13,3.040010749563135e-16
1000000,0.004082408292701648,12.499996228470469,-8.593126210598712e-14,-1.021405182655144e-13,3.0604995651353523e-16
1050000,0.004343600347042546,12.49999604873017,-8.504308368628699e-14,-1.021405182655144e-13,3.0808299283201043e-16
1100000,0.004615668687930984,12.499995868963913,-8.393286066166183e-14,-1.021405182655144e-13,3.101006543399654e-16
1150000,0.004899278403548872,12.499995689169332,-8.282263763703668e-14,-1.0236256287043943e-13,3.1210339035406795e-16
1200000,0.0051951151755424176,12.499995509343925,-8.193445921733655e-14,-1.021405182655144e-13,3.1409163044189917e-16
1250000,0.005503887406684176,12.499995329485051,-8.060219158778636e-14,-1.021405182655144e-13,3.16065785710151e-16
